Nome: ITUVERAVA
Codigo Estacao: A753
Latitude: -20.35972222
Longitude: -47.77527777
Altitude: 610.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;399;24,4;
2020-02-29;24;284,6;23,8;
2020-03-31;16;178,8;23,4;
2020-04-30;6;24,2;22;
2020-05-31;11;32;18,2;
2020-06-30;null;null;19,8;
2020-07-31;null;null;19,8;
2020-08-31;1;4,8;20,9;
2020-09-30;null;null;24,7;
2020-10-31;11;76,2;26;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;20;
2021-06-30;null;null;19,3;
2021-07-31;null;null;null;
2021-08-31;null;null;21,9;
2021-09-30;null;null;26,3;
2021-10-31;null;null;22,7;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;1;null;null;
2022-03-31;11;109,6;24,4;
2022-04-30;9;69,6;22,7;
2022-05-31;10;37,6;18,3;
2022-06-30;7;9,4;18,4;
2022-07-31;0;0;19,6;
2022-08-31;3;10,2;20,9;
2022-09-30;7;77;23,1;
2022-10-31;11;136,6;24,1;
2022-11-30;15;88;22,9;
2022-12-31;21;353;23,6;
2023-01-31;27;432,6;23,1;
2023-02-28;21;228;24;
2023-03-31;18;179,8;23,9;
2023-04-30;20;130,6;21,7;
2023-05-31;10;47,6;19;
2023-06-30;12;7,2;17,6;
2023-07-31;3;12;19,2;
2023-08-31;8;21;21,5;
2023-09-30;7;10;25,9;
2023-10-31;14;57,2;26;
2023-11-30;12;44,6;26,1;
2023-12-31;14;107,8;26,3;
2024-01-31;18;203,8;24,7;
2024-02-29;18;150,6;24,5;
2024-03-31;22;266,4;24,9;
2024-04-30;5;8;24,2;
2024-05-31;2;,4;21,5;
2024-06-30;0;0;20,6;
2024-07-31;0;0;20,4;
2024-08-31;2;2,4;20,9;
2024-09-30;1;,8;26,1;
2024-10-31;1;null;null;

