Nome: SIDROLANDIA
Codigo Estacao: A754
Latitude: -20.98166666
Longitude: -54.97194443
Altitude: 471.43
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;26,2;
2020-02-29;null;null;25,7;
2020-03-31;5;97,6;26,6;
2020-04-30;2;74,4;23,2;
2020-05-31;6;149,4;20;
2020-06-30;6;58,2;21,2;
2020-07-31;3;2,4;20,7;
2020-08-31;6;13,8;22,4;
2020-09-30;2;10,4;26,4;
2020-10-31;4;7,6;26,4;
2020-11-30;6;8,4;25,7;
2020-12-31;null;null;26,3;
2021-01-31;null;null;24,7;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;24,6;
2021-11-30;null;null;null;
2021-12-31;3;null;null;
2022-01-31;9;null;25,7;
2022-02-28;8;null;null;
2022-03-31;18;139;24,6;
2022-04-30;7;null;23,6;
2022-05-31;13;41,2;18,7;
2022-06-30;18;17,8;19,6;
2022-07-31;2;null;null;
2022-08-31;1;null;19,9;
2022-09-30;5;null;null;
2022-10-31;13;85,8;23,9;
2022-11-30;4;79,2;23,9;
2022-12-31;12;73,6;25,9;
2023-01-31;17;192,2;24,5;
2023-02-28;20;267,8;24,1;
2023-03-31;15;null;25,2;
2023-04-30;14;267,6;23,4;
2023-05-31;7;107;21,7;
2023-06-30;9;86,8;19,1;
2023-07-31;2;6;21,5;
2023-08-31;5;44,8;24,3;
2023-09-30;7;121,6;26;
2023-10-31;11;71,8;27,6;
2023-11-30;10;111,6;28;
2023-12-31;10;116,6;27,6;
2024-01-31;14;173,6;26,5;
2024-02-29;14;130,2;26,4;
2024-03-31;11;67,6;27,2;
2024-04-30;11;146,4;25,5;
2024-05-31;4;50;22,2;
2024-06-30;0;0;24;
2024-07-31;4;17,6;20,4;
2024-08-31;4;42,6;22,6;
2024-09-30;4;48,2;26,4;
2024-10-31;null;null;null;

