Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;161,4;27,6;
2020-02-29;19;330,6;26,5;
2020-03-31;4;89;26,4;
2020-04-30;6;106,2;24;
2020-05-31;10;37,2;19,6;
2020-06-30;8;53,2;21,9;
2020-07-31;0;0;21;
2020-08-31;2;5,2;21,9;
2020-09-30;2;10,2;27,7;
2020-10-31;9;103;28,2;
2020-11-30;7;77,8;27;
2020-12-31;13;177,8;27,2;
2021-01-31;22;244,2;26,1;
2021-02-28;7;106,6;26,4;
2021-03-31;11;87,4;26,6;
2021-04-30;null;null;24,3;
2021-05-31;2;46,4;22,3;
2021-06-30;3;11,8;20,5;
2021-07-31;1;3,4;17,8;
2021-08-31;2;11,6;23,5;
2021-09-30;3;17,2;27,4;
2021-10-31;13;215;25,5;
2021-11-30;10;95,6;27,1;
2021-12-31;11;122;26,8;
2022-01-31;19;270,8;26,8;
2022-02-28;8;110,8;27,1;
2022-03-31;12;138,2;26,5;
2022-04-30;8;95,4;24,7;
2022-05-31;7;46,4;19,8;
2022-06-30;3;27,8;20;
2022-07-31;0;0;21,6;
2022-08-31;8;129;20,8;
2022-09-30;13;158,2;23;
2022-10-31;15;117;25,2;
2022-11-30;8;53,2;24,5;
2022-12-31;18;384,4;26,4;
2023-01-31;16;346,8;25,6;
2023-02-28;15;177,2;25,6;
2023-03-31;18;324,4;26,1;
2023-04-30;10;202,4;24,3;
2023-05-31;4;116,4;21,5;
2023-06-30;4;89,4;18,3;
2023-07-31;1;2,4;21;
2023-08-31;7;43,4;23,2;
2023-09-30;5;18,8;27,5;
2023-10-31;13;105,2;28,4;
2023-11-30;13;189,2;28,1;
2023-12-31;12;72,2;28,7;
2024-01-31;14;152,8;27,6;
2024-02-29;12;104,6;27,7;
2024-03-31;18;87,2;27,6;
2024-04-30;10;146,4;26,2;
2024-05-31;5;18,6;23,1;
2024-06-30;0;0;22,2;
2024-07-31;3;1,8;20,2;
2024-08-31;5;39;21,4;
2024-09-30;4;22,2;26,1;
2024-10-31;null;null;null;

