Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;278,4;27,9;
2020-02-29;13;173,2;27,6;
2020-03-31;5;46,4;27,8;
2020-04-30;3;80,8;24,1;
2020-05-31;8;134,2;20,4;
2020-06-30;10;33,4;21,3;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;1;null;null;
2021-09-30;2;null;null;
2021-10-31;16;56;26,1;
2021-11-30;null;null;27;
2021-12-31;null;null;28,4;
2022-01-31;null;null;28,5;
2022-02-28;4;null;28,6;
2022-03-31;18;166,8;26,4;
2022-04-30;7;53;25,2;
2022-05-31;7;137,2;19,6;
2022-06-30;13;34,8;20,2;
2022-07-31;2;1,4;22,6;
2022-08-31;6;18,4;21,2;
2022-09-30;9;57,4;22,3;
2022-10-31;4;37;24,3;
2022-11-30;2;,6;24,8;
2022-12-31;0;0;27,7;
2023-01-31;3;45,6;26,8;
2023-02-28;19;285,8;25,3;
2023-03-31;12;85,8;26,1;
2023-04-30;9;null;24,5;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;4;null;null;
2023-11-30;12;52;28,8;
2023-12-31;12;126;28,9;
2024-01-31;12;67,8;28,6;
2024-02-29;15;122,2;27,7;
2024-03-31;6;17,2;29,4;
2024-04-30;10;65,2;26,8;
2024-05-31;5;70,8;22,3;
2024-06-30;0;0;23,8;
2024-07-31;6;38,6;19,6;
2024-08-31;4;20,6;22,3;
2024-09-30;7;77,4;25,7;
2024-10-31;null;null;null;

