Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;26;
2020-02-29;null;null;25,2;
2020-03-31;null;null;25,9;
2020-04-30;null;null;24,9;
2020-05-31;null;null;21,4;
2020-06-30;null;null;23,1;
2020-07-31;null;0;23,2;
2020-08-31;0;0;25,3;
2020-09-30;0;0;28,6;
2020-10-31;3;6,6;28,1;
2020-11-30;null;null;26,6;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;11;null;24,4;
2022-04-30;18;6,2;24,7;
2022-05-31;5;1,6;21,2;
2022-06-30;15;4;21,5;
2022-07-31;0;0;23,8;
2022-08-31;4;,8;23,3;
2022-09-30;null;null;25,2;
2022-10-31;2;null;25,2;
2022-11-30;null;null;24,5;
2022-12-31;null;null;25,2;
2023-01-31;null;null;24,2;
2023-02-28;null;null;24,4;
2023-03-31;14;null;24,6;
2023-04-30;19;188;24,1;
2023-05-31;4;108;23,4;
2023-06-30;4;16;20,7;
2023-07-31;1;,2;23,5;
2023-08-31;4;12,2;26,2;
2023-09-30;9;30,6;27,8;
2023-10-31;16;137,2;28,1;
2023-11-30;10;143,6;28,3;
2023-12-31;11;298,2;27,2;
2024-01-31;11;141,8;26;
2024-02-29;20;144;25,7;
2024-03-31;25;383,4;25,8;
2024-04-30;13;77,8;26,1;
2024-05-31;6;4;23,1;
2024-06-30;0;0;24,4;
2024-07-31;0;0;22,6;
2024-08-31;4;3;24,7;
2024-09-30;3;7,8;28,9;
2024-10-31;null;null;null;

