Nome: DRACENA
Codigo Estacao: A762
Latitude: -21.45777777
Longitude: -51.55222222
Altitude: 383
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;7;null;26,8;
2020-02-29;17;288,8;25,4;
2020-03-31;null;null;26,4;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;4;23,2;26,5;
2020-12-31;15;175,8;26,1;
2021-01-31;21;203,4;25,5;
2021-02-28;11;97;25,5;
2021-03-31;11;137,4;25,9;
2021-04-30;2;3,2;24,1;
2021-05-31;3;3,2;22,8;
2021-06-30;15;10,6;20,4;
2021-07-31;2;,8;19,2;
2021-08-31;5;4,4;23,5;
2021-09-30;8;7;27,1;
2021-10-31;27;21,4;24,1;
2021-11-30;8;73,2;26,7;
2021-12-31;14;167,8;26,4;
2022-01-31;16;213,6;25,9;
2022-02-28;13;106,2;26,4;
2022-03-31;18;89,8;25,8;
2022-04-30;9;26,8;24,7;
2022-05-31;5;27,4;20,2;
2022-06-30;4;32,8;20,5;
2022-07-31;1;2;22,9;
2022-08-31;7;94,4;21,4;
2022-09-30;8;74,6;21,9;
2022-10-31;11;152,6;24,3;
2022-11-30;6;34,6;23,9;
2022-12-31;13;223,2;25,5;
2023-01-31;20;282;25,1;
2023-02-28;20;378,6;24,8;
2023-03-31;13;255,6;25,5;
2023-04-30;13;156,6;23,6;
2023-05-31;3;27,2;21,9;
2023-06-30;7;111,4;19,7;
2023-07-31;1;,8;21,5;
2023-08-31;6;29,8;23,4;
2023-09-30;9;49,8;26,5;
2023-10-31;9;85,6;27,2;
2023-11-30;11;128;27,3;
2023-12-31;11;66;28;
2024-01-31;9;70,8;27,2;
2024-02-29;9;129,4;27,2;
2024-03-31;11;82;27,3;
2024-04-30;9;153;26;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;1;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

