Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.23527777
Longitude: -49.965
Altitude: 660
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;125,4;24,5;
2020-02-29;20;453,2;23,3;
2020-03-31;5;45,6;23,6;
2020-04-30;4;55,2;21,9;
2020-05-31;3;50;19,4;
2020-06-30;9;99;20,8;
2020-07-31;3;7;20,7;
2020-08-31;7;121,8;20,2;
2020-09-30;2;7,6;25,6;
2020-10-31;9;60,8;25,1;
2020-11-30;11;71,4;24,3;
2020-12-31;20;281;24;
2021-01-31;18;263;23,9;
2021-02-28;12;115,2;23,9;
2021-03-31;14;166,8;24,3;
2021-04-30;3;38,4;21,7;
2021-05-31;4;25;20,8;
2021-06-30;6;60,8;18,6;
2021-07-31;2;3,2;18;
2021-08-31;2;9,2;22,2;
2021-09-30;6;55,2;25,1;
2021-10-31;18;154;21,6;
2021-11-30;8;143,6;24,4;
2021-12-31;14;121,6;23,9;
2022-01-31;21;268,2;24;
2022-02-28;12;131;24,7;
2022-03-31;16;141,4;24,3;
2022-04-30;9;83,8;22,5;
2022-05-31;7;59,8;18,9;
2022-06-30;8;69,8;19,2;
2022-07-31;1;,2;21,9;
2022-08-31;9;79;19,6;
2022-09-30;13;112,2;19,7;
2022-10-31;10;127,8;22,8;
2022-11-30;6;48,2;22;
2022-12-31;19;185,8;23,4;
2023-01-31;13;null;22,6;
2023-02-28;22;293,6;23,2;
2023-03-31;17;189,8;24,2;
2023-04-30;12;89,2;21,8;
2023-05-31;5;32,2;20,4;
2023-06-30;6;72,8;19,1;
2023-07-31;1;,4;20,1;
2023-08-31;5;20;22,2;
2023-09-30;8;23,6;25,5;
2023-10-31;17;154,2;24,6;
2023-11-30;14;203,2;25,4;
2023-12-31;9;127,4;26,3;
2024-01-31;11;239;25,1;
2024-02-29;13;156,6;25,5;
2024-03-31;14;160,8;25,3;
2024-04-30;8;147,8;24,7;
2024-05-31;5;14,8;23,1;
2024-06-30;1;1,2;22,9;
2024-07-31;3;27,6;20,9;
2024-08-31;4;43,6;21,6;
2024-09-30;3;19,6;26,4;
2024-10-31;null;null;null;

