Nome: BEBEDOURO
Codigo Estacao: A764
Latitude: -20.94805555
Longitude: -48.47138888
Altitude: 542
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;318;25,4;
2020-02-29;21;351,6;24,3;
2020-03-31;7;98,8;25;
2020-04-30;4;null;23,8;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;3;null;23,6;
2021-05-31;5;null;21,9;
2021-06-30;1;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;2;null;null;
2021-11-30;10;244,4;25,5;
2021-12-31;17;187,2;24,9;
2022-01-31;20;277,6;24,8;
2022-02-28;15;197,6;25,3;
2022-03-31;17;121;26,1;
2022-04-30;6;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;11;null;24,6;
2023-04-30;12;212,6;22,1;
2023-05-31;3;33,6;19;
2023-06-30;8;36;17,1;
2023-07-31;2;3;18,8;
2023-08-31;7;14,8;21,1;
2023-09-30;9;82,6;24,8;
2023-10-31;22;184,4;26,1;
2023-11-30;11;126,4;26,3;
2023-12-31;12;84,8;26,9;
2024-01-31;15;85,8;25,6;
2024-02-29;15;137,6;25,4;
2024-03-31;17;48,4;25,7;
2024-04-30;6;1,8;24,8;
2024-05-31;2;6,4;21,4;
2024-06-30;0;0;19,5;
2024-07-31;1;null;19;
2024-08-31;5;18,6;19,8;
2024-09-30;0;0;24,9;
2024-10-31;null;null;null;

