Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;10;null;25,1;
2022-04-30;19;412,6;23,1;
2022-05-31;22;87;20,9;
2022-06-30;20;156,8;19,2;
2022-07-31;16;53,2;20,9;
2022-08-31;18;119,8;19,7;
2022-09-30;22;206,4;19,3;
2022-10-31;24;115,6;22,2;
2022-11-30;19;470,4;21,9;
2022-12-31;18;323,6;23,7;
2023-01-31;23;220,8;25;
2023-02-28;19;577;25,9;
2023-03-31;15;211,6;25,4;
2023-04-30;15;214,6;23,2;
2023-05-31;16;309,6;21,5;
2023-06-30;17;116,8;20,7;
2023-07-31;18;118,2;20,2;
2023-08-31;18;274,2;21,1;
2023-09-30;11;84,2;22,6;
2023-10-31;24;336,2;22;
2023-11-30;15;163,2;24,4;
2023-12-31;16;175;25,2;
2024-01-31;20;626,6;25,4;
2024-02-29;17;193,2;26;
2024-03-31;20;311,6;25,4;
2024-04-30;15;87;24,4;
2024-05-31;16;108,8;23,5;
2024-06-30;16;124,6;22;
2024-07-31;16;80,8;18,4;
2024-08-31;13;59,6;18,4;
2024-09-30;14;59;21,4;
2024-10-31;4;null;null;

