Nome: TUPA
Codigo Estacao: A768
Latitude: -21.92722221
Longitude: -50.49027777
Altitude: 498
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;385;25,6;
2020-02-29;17;297;24,5;
2020-03-31;4;118,4;25,1;
2020-04-30;2;67,4;23,2;
2020-05-31;4;56,8;20,3;
2020-06-30;9;119,2;21,2;
2020-07-31;1;6,8;21,3;
2020-08-31;6;69,8;21,3;
2020-09-30;3;8,6;26,7;
2020-10-31;11;62,4;26,3;
2020-11-30;5;60,8;25,6;
2020-12-31;15;107,2;25,2;
2021-01-31;15;null;25,2;
2021-02-28;12;76,2;25,1;
2021-03-31;7;null;null;
2021-04-30;2;46;23,2;
2021-05-31;1;3,8;21,9;
2021-06-30;6;55,4;19,8;
2021-07-31;4;4,4;18,8;
2021-08-31;2;8,2;23;
2021-09-30;6;54,2;26,3;
2021-10-31;15;112,8;23,1;
2021-11-30;6;106;25,9;
2021-12-31;13;153,6;25,3;
2022-01-31;14;332,6;25,3;
2022-02-28;8;null;25,9;
2022-03-31;12;171,4;25,5;
2022-04-30;8;100,8;23,8;
2022-05-31;4;19,4;19,9;
2022-06-30;7;63,4;20,1;
2022-07-31;1;,6;22,5;
2022-08-31;7;61,8;20,6;
2022-09-30;3;null;21,9;
2022-10-31;null;null;null;
2022-11-30;4;null;23,3;
2022-12-31;11;null;24,6;
2023-01-31;13;null;24,6;
2023-02-28;14;null;24,5;
2023-03-31;10;null;25,6;
2023-04-30;9;166,6;23,1;
2023-05-31;3;27,2;21,6;
2023-06-30;5;null;19,3;
2023-07-31;null;null;21,3;
2023-08-31;6;15,4;23;
2023-09-30;11;44,4;26,4;
2023-10-31;10;null;26,3;
2023-11-30;6;null;26,8;
2023-12-31;4;null;28,2;
2024-01-31;7;null;26,4;
2024-02-29;8;null;26,6;
2024-03-31;11;96,2;26,2;
2024-04-30;9;91,6;25,8;
2024-05-31;3;17,2;23,5;
2024-06-30;1;,6;23,3;
2024-07-31;4;20;21,7;
2024-08-31;4;33,4;22,4;
2024-09-30;3;null;26,7;
2024-10-31;1;null;null;

