Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;23;173,4;23,9;
2020-02-29;22;330,6;23,1;
2020-03-31;14;150,4;22,2;
2020-04-30;5;44,6;20,8;
2020-05-31;7;23,4;18;
2020-06-30;7;37,8;19,3;
2020-07-31;3;10;18,6;
2020-08-31;7;42,6;18,5;
2020-09-30;6;45;23,3;
2020-10-31;3;,6;23,4;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;9;null;null;
2022-03-31;10;67;24,4;
2022-04-30;12;116,2;21,8;
2022-05-31;12;20,6;18,4;
2022-06-30;13;6,4;17,5;
2022-07-31;2;7,8;18,7;
2022-08-31;5;11;18,6;
2022-09-30;12;220,2;19;
2022-10-31;17;80;22,7;
2022-11-30;19;null;20,5;
2022-12-31;24;239;22,5;
2023-01-31;22;194;23,1;
2023-02-28;23;197,4;23,8;
2023-03-31;14;73;23,5;
2023-04-30;18;210;21,1;
2023-05-31;15;38,6;18,9;
2023-06-30;17;42,6;17,1;
2023-07-31;8;15,2;18,2;
2023-08-31;8;41;20;
2023-09-30;6;31;23,5;
2023-10-31;21;207,2;23;
2023-11-30;12;null;24,3;
2023-12-31;15;142,6;24,7;
2024-01-31;18;230;24,2;
2024-02-29;15;null;24,4;
2024-03-31;19;182,8;24,2;
2024-04-30;11;106;22,9;
2024-05-31;5;49,2;21,6;
2024-06-30;10;4,8;18,9;
2024-07-31;10;34,4;18,1;
2024-08-31;6;56,4;18,5;
2024-09-30;2;19;23,7;
2024-10-31;2;null;null;

