Nome: SAO SIMAO
Codigo Estacao: A770
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;399,8;24,7;
2020-02-29;21;249;23,9;
2020-03-31;8;121,2;24,1;
2020-04-30;4;15;22,1;
2020-05-31;3;11,6;18,9;
2020-06-30;5;12,8;20,5;
2020-07-31;0;0;20,5;
2020-08-31;1;2,6;21,5;
2020-09-30;5;24,2;25,9;
2020-10-31;9;57,4;25,8;
2020-11-30;11;108,2;24,6;
2020-12-31;23;350,2;24,3;
2021-01-31;15;null;25,4;
2021-02-28;13;89;24,5;
2021-03-31;8;86;24,7;
2021-04-30;4;18;22,3;
2021-05-31;2;9,2;20,4;
2021-06-30;3;11,4;19,6;
2021-07-31;2;17,2;17,8;
2021-08-31;1;,2;22,1;
2021-09-30;3;9,2;26,5;
2021-10-31;18;194,8;23,5;
2021-11-30;10;126,4;24,6;
2021-12-31;16;226,2;24,1;
2022-01-31;21;231;24;
2022-02-28;8;null;24,7;
2022-03-31;16;204,8;25,2;
2022-04-30;6;49,6;23,3;
2022-05-31;7;19,2;18,8;
2022-06-30;5;5,4;19,3;
2022-07-31;0;0;20,5;
2022-08-31;4;19,6;20,9;
2022-09-30;9;69,6;22,3;
2022-10-31;11;149,8;24,2;
2022-11-30;13;22,4;22,8;
2022-12-31;18;401,6;23,7;
2023-01-31;20;null;23,5;
2023-02-28;21;null;24,5;
2023-03-31;14;null;24,4;
2023-04-30;10;130,4;22,1;
2023-05-31;1;51;19,7;
2023-06-30;6;27,4;17,8;
2023-07-31;1;2,2;19,6;
2023-08-31;7;16;21,8;
2023-09-30;6;46,2;25,8;
2023-10-31;11;116,6;25,8;
2023-11-30;7;null;26,4;
2023-12-31;12;122,2;26,4;
2024-01-31;11;null;25;
2024-02-29;10;null;25,6;
2024-03-31;15;194,2;25,3;
2024-04-30;8;72,6;24,5;
2024-05-31;3;5,2;22,1;
2024-06-30;0;0;20,8;
2024-07-31;2;2,8;20,7;
2024-08-31;3;42,2;21,5;
2024-09-30;2;null;26,2;
2024-10-31;null;null;null;

