Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;101;23,3;
2020-02-29;4;38,6;22,5;
2020-03-31;4;66;23,1;
2020-04-30;2;4,2;17,9;
2020-05-31;null;null;null;
2020-06-30;6;null;14,1;
2020-07-31;7;38,4;10,8;
2020-08-31;6;55,2;14,2;
2020-09-30;9;100,8;14,3;
2020-10-31;8;100,8;17,5;
2020-11-30;4;null;19,9;
2020-12-31;6;null;21,5;
2021-01-31;6;247,2;23;
2021-02-28;10;null;21,8;
2021-03-31;7;88,4;20,8;
2021-04-30;7;null;18,7;
2021-05-31;1;null;null;
2021-06-30;4;null;10,2;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;8;null;15,7;
2021-10-31;7;null;18,7;
2021-11-30;3;null;null;
2021-12-31;2;55;22,6;
2022-01-31;9;77,4;25,5;
2022-02-28;7;118,2;23,2;
2022-03-31;9;154,4;19,7;
2022-04-30;10;291,8;17,1;
2022-05-31;16;54,6;12,6;
2022-06-30;10;null;9,6;
2022-07-31;12;null;14;
2022-08-31;13;143,4;11,8;
2022-09-30;7;63,8;13,3;
2022-10-31;6;67,8;16,5;
2022-11-30;5;42,6;20,5;
2022-12-31;6;48;23,4;
2023-01-31;9;48,8;25,2;
2023-02-28;9;56,6;23,5;
2023-03-31;11;106,4;23,8;
2023-04-30;5;16,4;17,7;
2023-05-31;6;null;15,6;
2023-06-30;9;44,2;13,8;
2023-07-31;8;null;12,7;
2023-08-31;7;79,6;14,1;
2023-09-30;11;null;15,9;
2023-10-31;7;119,4;16,9;
2023-11-30;14;281,8;20;
2023-12-31;12;292,6;21,8;
2024-01-31;8;137,6;22,5;
2024-02-29;9;104,4;24,2;
2024-03-31;12;196,6;21,7;
2024-04-30;15;349;18,9;
2024-05-31;10;null;13,2;
2024-06-30;5;null;13,8;
2024-07-31;10;null;10,8;
2024-08-31;4;null;12,5;
2024-09-30;10;null;16,2;
2024-10-31;3;null;null;

