Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;141,2;25,2;
2020-02-29;16;194;24,6;
2020-03-31;10;39,6;24,5;
2020-04-30;6;15,2;21,8;
2020-05-31;10;14,4;19,1;
2020-06-30;15;117;18,9;
2020-07-31;14;104;16,6;
2020-08-31;15;109,2;17,4;
2020-09-30;13;144;19,3;
2020-10-31;16;143,2;21,1;
2020-11-30;20;95,6;22,2;
2020-12-31;22;319,8;23,8;
2021-01-31;25;390,8;24,9;
2021-02-28;17;243,4;24,7;
2021-03-31;20;360;24,7;
2021-04-30;14;79,2;22;
2021-05-31;16;118;18,3;
2021-06-30;17;300,2;17,1;
2021-07-31;9;22,2;15,8;
2021-08-31;18;55,2;17,6;
2021-09-30;17;136,4;19,7;
2021-10-31;18;289,6;19,7;
2021-11-30;16;134,2;21,8;
2021-12-31;15;89,6;23,5;
2022-01-31;11;28;25,7;
2022-02-28;15;71,2;25,5;
2022-03-31;21;242;24,2;
2022-04-30;14;29,8;21,7;
2022-05-31;14;128,6;18,4;
2022-06-30;14;110,2;16,3;
2022-07-31;5;30;18,5;
2022-08-31;18;228,2;17,1;
2022-09-30;15;104,8;17,7;
2022-10-31;16;206,2;20,4;
2022-11-30;18;147,2;21,3;
2022-12-31;20;477;23,7;
2023-01-31;13;100,8;25,6;
2023-02-28;20;304,2;25,1;
2023-03-31;20;160,4;25,5;
2023-04-30;12;102,6;21,8;
2023-05-31;8;45;20,6;
2023-06-30;14;113,6;18,6;
2023-07-31;15;106,8;17,9;
2023-08-31;15;118,8;18,5;
2023-09-30;16;74;20,5;
2023-10-31;19;419,6;19,9;
2023-11-30;17;409,6;22,4;
2023-12-31;10;61,2;25,2;
2024-01-31;24;301,6;24,6;
2024-02-29;6;null;26,9;
2024-03-31;4;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;6;null;null;
2024-07-31;15;218,4;16;
2024-08-31;8;18,4;16,9;
2024-09-30;14;85,2;20;
2024-10-31;7;null;null;

