Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;208,6;21,4;
2020-02-29;18;110,8;20,4;
2020-03-31;9;14,6;20,1;
2020-04-30;3;21,2;18,1;
2020-05-31;4;null;16,3;
2020-06-30;10;127;16,5;
2020-07-31;8;null;15,8;
2020-08-31;10;null;16,3;
2020-09-30;4;37,8;18,6;
2020-10-31;13;128,2;18,9;
2020-11-30;15;211,6;18,8;
2020-12-31;19;159,4;20,7;
2021-01-31;23;226;21,2;
2021-02-28;17;72,2;21,1;
2021-03-31;18;148,8;21,1;
2021-04-30;8;11,6;17,6;
2021-05-31;9;126,4;16,1;
2021-06-30;11;null;14,8;
2021-07-31;3;null;null;
2021-08-31;8;77;16,7;
2021-09-30;8;66;18;
2021-10-31;22;164,2;16,2;
2021-11-30;10;73,2;19,2;
2021-12-31;15;105,8;20;
2022-01-31;20;274;21,4;
2022-02-28;11;113,6;21,9;
2022-03-31;16;230,4;21;
2022-04-30;13;109;17,8;
2022-05-31;7;null;16;
2022-06-30;8;null;14,8;
2022-07-31;5;30,4;16,9;
2022-08-31;9;null;15,8;
2022-09-30;18;null;14,4;
2022-10-31;17;138;17,6;
2022-11-30;14;178,6;16,9;
2022-12-31;19;176,2;20,2;
2023-01-31;18;109,4;21;
2023-02-28;21;130,6;21;
2023-03-31;19;96,2;21,3;
2023-04-30;13;83,6;17,9;
2023-05-31;9;57,4;16,7;
2023-06-30;12;null;15,5;
2023-07-31;14;80,4;14,6;
2023-08-31;16;113,6;15,8;
2023-09-30;15;101;19,2;
2023-10-31;19;445,2;17,7;
2023-11-30;14;231,2;20,3;
2023-12-31;10;54,2;22,3;
2024-01-31;17;120;21,6;
2024-02-29;17;226;22,2;
2024-03-31;13;46,8;21,7;
2024-04-30;13;127,6;20,6;
2024-05-31;10;128,6;18,6;
2024-06-30;5;51;17,6;
2024-07-31;6;null;15,1;
2024-08-31;5;41,8;16;
2024-09-30;8;84,8;19,9;
2024-10-31;1;null;null;

