Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;159,4;25,4;
2020-02-29;7;105;24,6;
2020-03-31;5;50;25,4;
2020-04-30;7;36,6;19,6;
2020-05-31;11;310,6;16;
2020-06-30;15;103;15,3;
2020-07-31;7;16;12,5;
2020-08-31;4;24;16,6;
2020-09-30;11;96,8;17;
2020-10-31;5;null;null;
2020-11-30;null;null;null;
2020-12-31;6;null;24,6;
2021-01-31;10;null;24,9;
2021-02-28;9;62;24;
2021-03-31;7;165;22,9;
2021-04-30;6;42,4;21,1;
2021-05-31;8;176;14,9;
2021-06-30;11;120,6;13;
2021-07-31;8;23,8;13,5;
2021-08-31;8;26,6;15,8;
2021-09-30;8;128,8;18,1;
2021-10-31;8;87,8;20;
2021-11-30;10;78,8;23,4;
2021-12-31;4;31,6;25,7;
2022-01-31;5;22,8;28,8;
2022-02-28;6;46,2;26,4;
2022-03-31;9;174,6;21,8;
2022-04-30;13;140,8;19,1;
2022-05-31;14;46,6;14,6;
2022-06-30;13;35,2;11,8;
2022-07-31;14;103,8;16,4;
2022-08-31;8;100,4;14,4;
2022-09-30;5;25,2;15,8;
2022-10-31;7;91,6;19;
2022-11-30;3;31,8;23,1;
2022-12-31;5;39,4;26,7;
2023-01-31;6;16,8;28,4;
2023-02-28;6;null;26,3;
2023-03-31;12;191,4;26,3;
2023-04-30;4;16,8;20,2;
2023-05-31;11;126,8;17,5;
2023-06-30;12;41,8;16;
2023-07-31;22;24;14,8;
2023-08-31;3;14,2;16,8;
2023-09-30;19;259,2;17,7;
2023-10-31;12;173,4;19,3;
2023-11-30;11;71,6;22,7;
2023-12-31;14;266,4;24,3;
2024-01-31;6;92;24,9;
2024-02-29;9;null;27,5;
2024-03-31;10;426;24,2;
2024-04-30;23;266,2;21,3;
2024-05-31;16;57;14,8;
2024-06-30;6;15,8;17,4;
2024-07-31;5;2,6;13;
2024-08-31;12;145;14,8;
2024-09-30;9;64,8;18,7;
2024-10-31;2;null;null;

