Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;187;25,2;
2020-02-29;7;142,8;23,8;
2020-03-31;4;42,2;24,6;
2020-04-30;7;null;17,8;
2020-05-31;7;null;null;
2020-06-30;17;171,8;17;
2020-07-31;18;327,2;13,8;
2020-08-31;8;159,4;16,9;
2020-09-30;9;41,4;19,1;
2020-10-31;6;27,2;22,3;
2020-11-30;3;null;23,6;
2020-12-31;9;178,4;24,9;
2021-01-31;14;null;24,1;
2021-02-28;15;60,2;23,2;
2021-03-31;12;158;22,7;
2021-04-30;7;56,6;20,4;
2021-05-31;13;86,6;15,4;
2021-06-30;14;33,2;13,9;
2021-07-31;12;15,4;13,4;
2021-08-31;null;null;16,5;
2021-09-30;10;null;19;
2021-10-31;null;null;19;
2021-11-30;null;null;null;
2021-12-31;null;null;26,1;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;19,4;
2022-05-31;3;null;15,2;
2022-06-30;15;147;13,4;
2022-07-31;14;57,8;18,3;
2022-08-31;15;92,8;15,5;
2022-09-30;15;68,4;16,5;
2022-10-31;17;163,2;18,9;
2022-11-30;4;4,8;21,8;
2022-12-31;11;109,4;25,4;
2023-01-31;18;79,4;26,1;
2023-02-28;18;48;24,5;
2023-03-31;14;72;24,9;
2023-04-30;11;60,4;19,9;
2023-05-31;19;118,6;17,6;
2023-06-30;15;99,2;16,1;
2023-07-31;14;125,4;16,3;
2023-08-31;9;104,2;17,9;
2023-09-30;16;231,8;20,7;
2023-10-31;16;494,2;20,2;
2023-11-30;20;459,8;23,1;
2023-12-31;10;null;25,5;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;5;null;null;
2024-04-30;17;290,4;22,9;
2024-05-31;28;336,4;17,1;
2024-06-30;17;131,8;18,2;
2024-07-31;14;60,2;14,1;
2024-08-31;11;53,8;16,5;
2024-09-30;18;62,8;20,4;
2024-10-31;2;null;null;

