Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;107,8;21,6;
2020-02-29;10;44,6;21,3;
2020-03-31;10;36;21,7;
2020-04-30;17;55,6;17,1;
2020-05-31;5;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;14;null;20,4;
2021-03-31;24;203,6;19,6;
2021-04-30;11;23,8;17,8;
2021-05-31;10;61,8;12,8;
2021-06-30;18;124,2;11,2;
2021-07-31;13;65;11,7;
2021-08-31;16;null;13,3;
2021-09-30;19;null;15,1;
2021-10-31;9;null;17,7;
2021-11-30;12;114,8;18,7;
2021-12-31;9;70;19,7;
2022-01-31;14;123,2;23;
2022-02-28;11;125;21,4;
2022-03-31;16;89,8;19,3;
2022-04-30;12;null;17,4;
2022-05-31;6;null;null;
2022-06-30;1;null;null;
2022-07-31;4;null;null;
2022-08-31;13;null;12,1;
2022-09-30;18;50,8;12,5;
2022-10-31;23;162,6;15;
2022-11-30;7;51,6;18,4;
2022-12-31;12;25,2;21;
2023-01-31;11;132,4;22,8;
2023-02-28;15;101;21,6;
2023-03-31;16;141,4;22,2;
2023-04-30;15;37,6;16,9;
2023-05-31;14;209,6;15,6;
2023-06-30;14;94;13;
2023-07-31;18;254,4;11,7;
2023-08-31;11;85,4;13,2;
2023-09-30;25;502;14;
2023-10-31;13;70;15,3;
2023-11-30;11;183,8;18,2;
2023-12-31;3;32,2;20,1;
2024-01-31;null;null;20,7;
2024-02-29;null;null;22,3;
2024-03-31;9;null;20,9;
2024-04-30;22;247,8;17,9;
2024-05-31;27;367,4;12,5;
2024-06-30;19;121,6;13,8;
2024-07-31;18;57,6;10,5;
2024-08-31;17;187,8;12,2;
2024-09-30;23;339,6;15,2;
2024-10-31;3;null;null;

