Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;190,6;22,6;
2020-02-29;5;31;22;
2020-03-31;7;45,4;22,7;
2020-04-30;7;32;18,1;
2020-05-31;8;210,6;15;
2020-06-30;15;163,8;13,5;
2020-07-31;10;120,8;11,3;
2020-08-31;11;73,6;14,2;
2020-09-30;16;150,6;14,3;
2020-10-31;11;70,2;17;
2020-11-30;5;42;19,4;
2020-12-31;11;128,4;21,2;
2021-01-31;11;172,2;22,5;
2021-02-28;13;125,4;21,4;
2021-03-31;13;133,2;20,6;
2021-04-30;10;13,2;18,7;
2021-05-31;null;null;null;
2021-06-30;1;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;13;274,6;15,1;
2021-10-31;9;105,6;17,1;
2021-11-30;8;111,2;19,5;
2021-12-31;6;46,8;21,3;
2022-01-31;9;48;24,9;
2022-02-28;8;68,8;22,9;
2022-03-31;15;197,6;19,7;
2022-04-30;14;303;16,9;
2022-05-31;20;116,2;13;
2022-06-30;14;96;10,6;
2022-07-31;20;196,6;14,2;
2022-08-31;15;109,8;12;
2022-09-30;13;53,8;13,4;
2022-10-31;15;102,4;16,1;
2022-11-30;8;81,6;19,2;
2022-12-31;9;75;22,2;
2023-01-31;8;90,4;23,9;
2023-02-28;10;82,2;22,5;
2023-03-31;16;80,8;23,2;
2023-04-30;7;27;17,8;
2023-05-31;11;310,6;16,3;
2023-06-30;14;86;14,2;
2023-07-31;17;209,8;12,5;
2023-08-31;11;89,2;14,4;
2023-09-30;20;680,6;15,3;
2023-10-31;12;90,6;16,2;
2023-11-30;18;254,2;19,2;
2023-12-31;12;214,4;21,4;
2024-01-31;10;119;21,8;
2024-02-29;13;92,2;23,5;
2024-03-31;14;173,2;21,5;
2024-04-30;19;395,2;18,8;
2024-05-31;22;381,8;13,2;
2024-06-30;15;216,8;14,9;
2024-07-31;13;71,8;11,3;
2024-08-31;16;228;13;
2024-09-30;20;260;16,3;
2024-10-31;3;null;null;

