Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;123;24,9;
2020-02-29;5;23,6;24,5;
2020-03-31;3;17,2;24,7;
2020-04-30;7;26,6;20,1;
2020-05-31;9;161,8;16,6;
2020-06-30;13;76,8;16;
2020-07-31;24;147,8;13;
2020-08-31;null;null;15,7;
2020-09-30;17;129,6;16,5;
2020-10-31;9;73,4;19,2;
2020-11-30;5;37,8;21,5;
2020-12-31;11;49,6;23,6;
2021-01-31;11;187,4;24,7;
2021-02-28;11;68,8;23,3;
2021-03-31;14;98;22,8;
2021-04-30;4;8;20,9;
2021-05-31;11;215,4;14,7;
2021-06-30;11;143,2;13,8;
2021-07-31;14;45,4;12,9;
2021-08-31;9;90,4;16,1;
2021-09-30;13;222,4;17,3;
2021-10-31;13;81;19,2;
2021-11-30;9;91,6;22;
2021-12-31;6;39,4;23,4;
2022-01-31;10;139,2;26,3;
2022-02-28;9;64,6;24,2;
2022-03-31;16;139,2;22;
2022-04-30;13;130,4;19;
2022-05-31;22;107;14,7;
2022-06-30;15;111,4;12,3;
2022-07-31;20;131,2;15,8;
2022-08-31;19;77,2;14,2;
2022-09-30;12;43,8;15,6;
2022-10-31;13;57,6;18,4;
2022-11-30;7;66;20,9;
2022-12-31;7;148;23,8;
2023-01-31;6;33;25,8;
2023-02-28;9;64,4;24,6;
2023-03-31;17;38,4;25,1;
2023-04-30;4;29,6;19,9;
2023-05-31;15;190,6;17,6;
2023-06-30;15;151;16;
2023-07-31;14;179,6;14,6;
2023-08-31;12;69;16,2;
2023-09-30;20;460,8;18;
2023-10-31;13;161,8;18,4;
2023-11-30;7;null;null;
2023-12-31;14;null;23,9;
2024-01-31;13;77,8;23,7;
2024-02-29;6;null;25,1;
2024-03-31;10;115;23,4;
2024-04-30;20;318,6;20,9;
2024-05-31;22;585,8;15,8;
2024-06-30;18;273,4;17;
2024-07-31;16;80,6;13;
2024-08-31;11;91,8;14,9;
2024-09-30;14;189;18,3;
2024-10-31;2;null;null;

