Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;null;23,4;
2020-02-29;5;null;23,4;
2020-03-31;9;33,4;23,4;
2020-04-30;11;47,8;19,7;
2020-05-31;15;14,6;17,2;
2020-06-30;12;122,8;17;
2020-07-31;19;150,8;14,6;
2020-08-31;13;82,6;16,3;
2020-09-30;13;164,2;18,2;
2020-10-31;11;56;20,5;
2020-11-30;15;242,6;21,2;
2020-12-31;23;162,4;23;
2021-01-31;23;255,2;24;
2021-02-28;13;129,8;23,7;
2021-03-31;24;146,6;23,3;
2021-04-30;15;33,8;20,7;
2021-05-31;18;124,4;16,1;
2021-06-30;20;169,6;15,2;
2021-07-31;14;30,2;14,2;
2021-08-31;10;40,6;17;
2021-09-30;null;null;null;
2021-10-31;18;99,6;19,2;
2021-11-30;12;107,8;21,3;
2021-12-31;16;72;22,4;
2022-01-31;13;207,8;25,1;
2022-02-28;10;93,6;24,5;
2022-03-31;22;266,4;22,7;
2022-04-30;20;79,8;19,9;
2022-05-31;21;352,2;16,4;
2022-06-30;22;208,8;13,9;
2022-07-31;14;31,4;17,2;
2022-08-31;19;228;15,8;
2022-09-30;1;null;null;
2022-10-31;19;135;19,1;
2022-11-30;17;123;19,8;
2022-12-31;18;231,8;22,9;
2023-01-31;18;178,4;24,1;
2023-02-28;15;219,4;23,5;
2023-03-31;18;216,4;24,2;
2023-04-30;18;82,2;20,1;
2023-05-31;11;null;18,6;
2023-06-30;10;null;16,5;
2023-07-31;9;70,6;16;
2023-08-31;14;83,6;16,9;
2023-09-30;18;209,2;19,4;
2023-10-31;22;457,4;18,6;
2023-11-30;20;233,6;21,1;
2023-12-31;13;138,8;24,2;
2024-01-31;29;349,2;23,1;
2024-02-29;14;169,8;25;
2024-03-31;14;237,6;23,8;
2024-04-30;20;184,6;21,6;
2024-05-31;20;317,2;17,6;
2024-06-30;17;169,6;17,4;
2024-07-31;18;158,4;14,4;
2024-08-31;8;null;15,1;
2024-09-30;6;null;20;
2024-10-31;2;null;null;

