Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;177,8;17,5;
2020-02-29;18;88;16,5;
2020-03-31;14;12,8;16,8;
2020-04-30;16;51,8;13;
2020-05-31;15;54,4;11,6;
2020-06-30;19;172;11,7;
2020-07-31;19;254,8;9,9;
2020-08-31;9;100,2;12,7;
2020-09-30;9;121,2;14,3;
2020-10-31;14;99,2;14,8;
2020-11-30;17;106;14,4;
2020-12-31;23;156,8;16,6;
2021-01-31;23;261,8;17,1;
2021-02-28;14;65;16,5;
2021-03-31;23;145,6;16,4;
2021-04-30;18;11,6;13,3;
2021-05-31;18;126,8;10,8;
2021-06-30;19;149,4;9,1;
2021-07-31;9;67;9,1;
2021-08-31;14;88,2;12,5;
2021-09-30;18;218,8;13,7;
2021-10-31;19;167,2;13;
2021-11-30;17;86,4;15,3;
2021-12-31;13;53,8;16,1;
2022-01-31;14;240,4;18,2;
2022-02-28;15;110,4;17,8;
2022-03-31;23;230;16,1;
2022-04-30;20;107,8;13,5;
2022-05-31;21;395,2;9,7;
2022-06-30;17;346,6;9;
2022-07-31;10;84,2;12,9;
2022-08-31;17;130,2;9,8;
2022-09-30;18;74;9,9;
2022-10-31;20;74,6;13,1;
2022-11-30;16;57,8;12,9;
2022-12-31;17;130,8;16,7;
2023-01-31;21;225;17,6;
2023-02-28;19;176,2;16,8;
2023-03-31;22;139,8;17,5;
2023-04-30;17;46,2;13,4;
2023-05-31;15;114;13,6;
2023-06-30;12;null;12,8;
2023-07-31;20;167,6;10,6;
2023-08-31;18;77;12,6;
2023-09-30;20;336,4;14,6;
2023-10-31;7;null;null;
2023-11-30;10;null;16,1;
2023-12-31;21;148,8;18;
2024-01-31;24;210,8;16,9;
2024-02-29;20;149,4;18,5;
2024-03-31;19;146,4;17,8;
2024-04-30;22;121,2;16,3;
2024-05-31;22;414;12,8;
2024-06-30;19;224,8;12,4;
2024-07-31;16;182,6;10,6;
2024-08-31;14;103;12,4;
2024-09-30;13;140;15,7;
2024-10-31;3;null;null;

