Nome: NOVO HORIZONTE
Codigo Estacao: A816
Latitude: -26.40638888
Longitude: -52.85027777
Altitude: 943.57
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;125,6;22;
2020-02-29;null;null;20,8;
2020-03-31;null;null;null;
2020-04-30;null;null;16,3;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;4;null;null;
2020-09-30;2;null;null;
2020-10-31;3;null;null;
2020-11-30;12;152,6;20,2;
2020-12-31;13;245,8;21,3;
2021-01-31;21;282;20,6;
2021-02-28;10;31,2;20,7;
2021-03-31;16;174,8;20,8;
2021-04-30;null;null;null;
2021-05-31;3;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;2;null;null;
2022-10-31;17;547;17,2;
2022-11-30;8;94,2;18,2;
2022-12-31;14;129,6;21,2;
2023-01-31;13;145,6;21,5;
2023-02-28;15;176;20,3;
2023-03-31;16;96;21,3;
2023-04-30;10;189,8;17,9;
2023-05-31;10;102;16,8;
2023-06-30;9;106,4;14,7;
2023-07-31;14;103,2;15,2;
2023-08-31;10;120;16,7;
2023-09-30;12;164,2;19,6;
2023-10-31;15;488,6;18,4;
2023-11-30;18;295,8;20,6;
2023-12-31;15;231;22;
2024-01-31;16;150,4;21,7;
2024-02-29;16;172,6;22,7;
2024-03-31;7;null;null;
2024-04-30;12;210,8;20,3;
2024-05-31;18;276,6;16,3;
2024-06-30;10;151,4;16,9;
2024-07-31;10;null;15;
2024-08-31;7;58,4;16,2;
2024-09-30;10;120,6;20,1;
2024-10-31;2;null;null;

