Nome: INDAIAL
Codigo Estacao: A817
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.24
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;106,2;25,4;
2020-02-29;13;173,6;24,1;
2020-03-31;13;26,2;24,1;
2020-04-30;9;86;21,1;
2020-05-31;8;10,2;18,4;
2020-06-30;21;179,2;18;
2020-07-31;20;114;15,7;
2020-08-31;14;109,4;17;
2020-09-30;15;50,8;19,8;
2020-10-31;17;54,8;21,6;
2020-11-30;18;195,6;22,1;
2020-12-31;24;252,2;23,8;
2021-01-31;24;367,6;24,2;
2021-02-28;13;214;24,5;
2021-03-31;21;214;24,3;
2021-04-30;14;45,4;21,1;
2021-05-31;15;131,2;17,8;
2021-06-30;19;156,6;16,3;
2021-07-31;1;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;1;null;null;
2022-11-30;15;156,8;21,1;
2022-12-31;20;259,4;23,9;
2023-01-31;17;332,2;24,7;
2023-02-28;20;256;24,6;
2023-03-31;20;242,2;24,6;
2023-04-30;14;184,8;21,1;
2023-05-31;8;33,2;19,4;
2023-06-30;14;123,6;16,8;
2023-07-31;20;142,4;16,9;
2023-08-31;11;92,2;18,3;
2023-09-30;17;145;20,7;
2023-10-31;20;515,6;19,7;
2023-11-30;14;344,6;22,5;
2023-12-31;13;37,2;25,4;
2024-01-31;24;303,8;24,5;
2024-02-29;18;155,8;25,7;
2024-03-31;12;156,2;25,2;
2024-04-30;17;230,8;22,9;
2024-05-31;14;272,6;19,7;
2024-06-30;5;82;18,8;
2024-07-31;16;206,8;15,9;
2024-08-31;6;33,2;17,2;
2024-09-30;6;null;20,4;
2024-10-31;null;null;null;

