Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.50527777
Longitude: -49.94638888
Altitude: 512.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;135,6;24,1;
2020-02-29;12;176,4;23,5;
2020-03-31;2;null;23,6;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;4;null;19,4;
2020-07-31;10;27,4;17,3;
2020-08-31;4;null;18,8;
2020-09-30;2;18,6;22,8;
2020-10-31;4;null;23,2;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;5;null;null;
2021-02-28;2;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;3;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;7;null;21,3;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;1;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;1;null;null;
2022-10-31;2;null;null;
2022-11-30;1;null;null;
2022-12-31;14;null;23,3;
2023-01-31;null;null;null;
2023-02-28;1;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;4;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;2;null;18,6;
2024-09-30;6;34,6;23,5;
2024-10-31;2;null;null;

