Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;77,6;25,2;
2020-02-29;7;83,2;24,1;
2020-03-31;3;33,8;25,1;
2020-04-30;5;26,6;19,6;
2020-05-31;11;187,4;15,7;
2020-06-30;14;163,4;15,3;
2020-07-31;11;47,4;12,6;
2020-08-31;11;33,8;16,1;
2020-09-30;11;172,6;16,6;
2020-10-31;6;89,8;20,2;
2020-11-30;7;112,2;22,6;
2020-12-31;8;128,4;23,8;
2021-01-31;10;null;24,6;
2021-02-28;11;85;23,3;
2021-03-31;10;79,2;22,5;
2021-04-30;7;67,2;20,6;
2021-05-31;9;203;14,2;
2021-06-30;8;192;12,8;
2021-07-31;3;21,2;12,8;
2021-08-31;4;26,2;15,8;
2021-09-30;8;279;17,4;
2021-10-31;10;89,2;19,5;
2021-11-30;8;63,2;22,4;
2021-12-31;3;71,6;24,7;
2022-01-31;7;40;27,7;
2022-02-28;4;54;25,8;
2022-03-31;9;238,4;21,6;
2022-04-30;9;201,4;18,7;
2022-05-31;8;72,8;14,1;
2022-06-30;1;null;null;
2022-07-31;null;null;null;
2022-08-31;6;null;14,6;
2022-09-30;7;51,2;15,2;
2022-10-31;9;73;18,4;
2022-11-30;5;77;22,1;
2022-12-31;5;71;25,8;
2023-01-31;9;57,2;27;
2023-02-28;11;null;25,2;
2023-03-31;14;121,4;25,3;
2023-04-30;6;26,6;19,6;
2023-05-31;14;226,4;17,1;
2023-06-30;14;59,6;15,9;
2023-07-31;9;132,2;14,6;
2023-08-31;7;60;16,5;
2023-09-30;19;355;17,9;
2023-10-31;15;310,6;18,7;
2023-11-30;13;148,4;22,2;
2023-12-31;13;294,4;24,3;
2024-01-31;9;113,2;24,2;
2024-02-29;5;null;26,5;
2024-03-31;12;315,2;23,5;
2024-04-30;18;308;21,1;
2024-05-31;18;165,2;15;
2024-06-30;11;203,6;17,3;
2024-07-31;6;5,6;13,1;
2024-08-31;13;183,6;14,9;
2024-09-30;14;85,4;18,7;
2024-10-31;2;null;null;

