Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;109,4;23,4;
2020-02-29;4;40,2;22,8;
2020-03-31;6;21,4;23,6;
2020-04-30;10;83;18,2;
2020-05-31;14;162,6;14,7;
2020-06-30;17;182,6;14,2;
2020-07-31;12;null;12,9;
2020-08-31;8;77,6;15,6;
2020-09-30;13;97;14,5;
2020-10-31;11;85,6;17,2;
2020-11-30;6;27;19,8;
2020-12-31;12;90,6;22;
2021-01-31;13;151,2;23,3;
2021-02-28;15;213,6;21,8;
2021-03-31;15;112,4;21;
2021-04-30;16;24,8;18,9;
2021-05-31;14;60,2;13,1;
2021-06-30;15;140,4;11,9;
2021-07-31;11;31,6;12,1;
2021-08-31;15;100;14,2;
2021-09-30;15;204,6;15,8;
2021-10-31;13;59,6;17,5;
2021-11-30;7;26,4;20;
2021-12-31;7;49;22,1;
2022-01-31;10;91,2;25,4;
2022-02-28;7;132,2;23,1;
2022-03-31;9;99,6;20,1;
2022-04-30;10;199,8;17,4;
2022-05-31;10;null;13,6;
2022-06-30;16;86,4;10,5;
2022-07-31;17;189,2;14,1;
2022-08-31;15;163,6;12,5;
2022-09-30;11;64,6;13,6;
2022-10-31;14;143,8;16,3;
2022-11-30;5;45;20,1;
2022-12-31;9;59,2;23,1;
2023-01-31;8;34;25,1;
2023-02-28;8;67,8;23,8;
2023-03-31;17;146,6;24;
2023-04-30;10;44,8;17,9;
2023-05-31;12;146,6;16,1;
2023-06-30;13;80,8;14,4;
2023-07-31;14;201,2;12,6;
2023-08-31;9;96,8;14,4;
2023-09-30;21;392,2;15,4;
2023-10-31;9;62,8;16,9;
2023-11-30;15;290,6;20;
2023-12-31;11;228,8;21,9;
2024-01-31;9;81;22,7;
2024-02-29;8;106,2;24,5;
2024-03-31;10;118,8;22,2;
2024-04-30;18;203,2;19,1;
2024-05-31;23;306,4;13,3;
2024-06-30;14;60;15,6;
2024-07-31;10;null;12,3;
2024-08-31;15;206,8;13,4;
2024-09-30;18;271,4;16,5;
2024-10-31;2;null;null;

