Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;132,2;21,7;
2020-02-29;6;91,2;21,1;
2020-03-31;5;27,8;22;
2020-04-30;6;67,6;17,3;
2020-05-31;11;146;14,2;
2020-06-30;15;205,6;14,2;
2020-07-31;14;218,8;12,9;
2020-08-31;6;95,8;15,4;
2020-09-30;7;67;18,1;
2020-10-31;4;18,2;20;
2020-11-30;11;133,8;20;
2020-12-31;12;144,4;21,9;
2021-01-31;16;310,4;21,4;
2021-02-28;9;32,6;20,4;
2021-03-31;12;95,6;20,7;
2021-04-30;5;5,4;17,9;
2021-05-31;13;115,6;14,1;
2021-06-30;15;183,4;12,3;
2021-07-31;5;46,8;12,1;
2021-08-31;5;32,2;16,3;
2021-09-30;null;null;null;
2021-10-31;1;null;null;
2021-11-30;9;63,8;20,7;
2021-12-31;6;26,2;22,8;
2022-01-31;15;202;23,4;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;6;null;null;
2022-06-30;16;183,4;10,8;
2022-07-31;6;null;16,4;
2022-08-31;3;null;null;
2022-09-30;null;null;null;
2022-10-31;3;null;null;
2022-11-30;7;63,4;18,7;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;11;null;14;
2023-08-31;10;94,2;15,8;
2023-09-30;17;216;18,6;
2023-10-31;19;520;17,8;
2023-11-30;16;493,4;20,2;
2023-12-31;15;154,8;22,3;
2024-01-31;16;154,2;21,7;
2024-02-29;15;178;22,9;
2024-03-31;14;155;21,7;
2024-04-30;19;255;20,6;
2024-05-31;20;380,4;15,3;
2024-06-30;13;199,2;16;
2024-07-31;13;145,2;13,2;
2024-08-31;9;123,4;15,3;
2024-09-30;10;123,8;19;
2024-10-31;2;null;null;

