Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;106;26;
2020-02-29;7;133,8;25,1;
2020-03-31;6;29,2;25,8;
2020-04-30;3;36;20,2;
2020-05-31;7;49,8;16,4;
2020-06-30;5;null;18,9;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;3;null;null;
2021-01-31;14;169,4;25;
2021-02-28;4;26,2;24,5;
2021-03-31;10;142,4;23,7;
2021-04-30;8;54,2;21,6;
2021-05-31;7;42,2;15,8;
2021-06-30;10;60;13,9;
2021-07-31;null;null;14,3;
2021-08-31;null;null;17,4;
2021-09-30;null;null;19,3;
2021-10-31;null;null;20,6;
2021-11-30;null;null;23,6;
2021-12-31;3;null;26,3;
2022-01-31;4;14,4;29,5;
2022-02-28;4;32,6;27,4;
2022-03-31;8;69,2;22,9;
2022-04-30;13;173;19,9;
2022-05-31;11;81,8;15,3;
2022-06-30;15;146,8;13,1;
2022-07-31;14;81,2;18,2;
2022-08-31;11;31,8;15,4;
2022-09-30;4;40,8;16,3;
2022-10-31;11;99,6;19,4;
2022-11-30;4;45,2;22,8;
2022-12-31;6;59;27,1;
2023-01-31;8;23,2;28,1;
2023-02-28;7;17,4;26,8;
2023-03-31;5;null;27,3;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;8;56,2;18;
2023-09-30;14;266,2;19,9;
2023-10-31;17;269,4;20,3;
2023-11-30;13;208,6;23,6;
2023-12-31;14;155,4;25,2;
2024-01-31;8;170;25,3;
2024-02-29;6;92,2;27,2;
2024-03-31;12;220,4;24,9;
2024-04-30;20;180;22,6;
2024-05-31;15;141,8;16,2;
2024-06-30;8;107;18,5;
2024-07-31;6;22;14,4;
2024-08-31;8;138,2;16,3;
2024-09-30;8;80,4;20,2;
2024-10-31;2;null;null;

