Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.368578
Longitude: -56.437115
Altitude: 113.05
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;79,4;24,9;
2020-02-29;4;64;24,2;
2020-03-31;7;67,2;24,5;
2020-04-30;11;43,8;18,5;
2020-05-31;16;251;14,9;
2020-06-30;17;160,6;14,3;
2020-07-31;11;16,2;12,1;
2020-08-31;7;19,8;15,9;
2020-09-30;13;116,6;15,6;
2020-10-31;10;78,8;19,1;
2020-11-30;5;53,4;21,6;
2020-12-31;7;100,4;23,3;
2021-01-31;8;120,4;24,3;
2021-02-28;11;92,6;22,8;
2021-03-31;8;null;22,4;
2021-04-30;15;46,8;19,9;
2021-05-31;20;125,6;13,3;
2021-06-30;16;138,2;11,6;
2021-07-31;14;27;12,1;
2021-08-31;20;56,6;14,7;
2021-09-30;18;171,8;16,9;
2021-10-31;7;48,2;18,4;
2021-11-30;10;100;21,8;
2021-12-31;2;28,4;24,7;
2022-01-31;6;89;27,8;
2022-02-28;5;null;25,2;
2022-03-31;14;170,8;20,8;
2022-04-30;22;245,2;18;
2022-05-31;21;71;13,1;
2022-06-30;17;null;10,4;
2022-07-31;12;null;16,2;
2022-08-31;15;14,6;13,3;
2022-09-30;9;59,2;14,5;
2022-10-31;7;71,6;17,5;
2022-11-30;5;52,8;21,9;
2022-12-31;4;23,8;25,8;
2023-01-31;5;42,4;27,8;
2023-02-28;7;60,4;25,8;
2023-03-31;13;316;25,6;
2023-04-30;10;10;18,7;
2023-05-31;23;109,2;16,4;
2023-06-30;16;36,4;15;
2023-07-31;15;84,4;13,8;
2023-08-31;10;32,4;15,5;
2023-09-30;22;266;16,8;
2023-10-31;14;100,2;18,2;
2023-11-30;15;151,4;21,4;
2023-12-31;12;299;23,5;
2024-01-31;12;57,6;23,7;
2024-02-29;9;105;26,6;
2024-03-31;18;342,6;23;
2024-04-30;21;434,6;20,2;
2024-05-31;20;83;13,2;
2024-06-30;11;42,6;16,2;
2024-07-31;14;6,2;11,8;
2024-08-31;15;161;13,8;
2024-09-30;15;155,4;17,5;
2024-10-31;3;null;null;

