Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;7;86;25,2;
2020-02-29;3;48;24,4;
2020-03-31;4;36,6;25,2;
2020-04-30;5;13,6;19,7;
2020-05-31;10;195,6;15,3;
2020-06-30;13;116,2;14,9;
2020-07-31;8;82;12,3;
2020-08-31;8;56,8;15,2;
2020-09-30;11;109,2;16,2;
2020-10-31;9;68,8;19,4;
2020-11-30;5;74,8;22,1;
2020-12-31;10;94,2;23,8;
2021-01-31;12;282,8;24,5;
2021-02-28;10;89;23,1;
2021-03-31;11;119;22,6;
2021-04-30;10;46,2;20,4;
2021-05-31;14;135,2;13,9;
2021-06-30;14;159,8;12,6;
2021-07-31;17;60,4;12;
2021-08-31;12;65,6;15,2;
2021-09-30;18;null;16,8;
2021-10-31;8;81;19,2;
2021-11-30;9;63,2;22;
2021-12-31;2;33,6;24,5;
2022-01-31;8;59,8;27,4;
2022-02-28;8;82;25;
2022-03-31;14;137;21,5;
2022-04-30;14;330;18,7;
2022-05-31;23;82;14,2;
2022-06-30;13;111;11,6;
2022-07-31;19;181,8;15,3;
2022-08-31;14;null;13,3;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;2;null;23,7;
2022-12-31;7;83,2;25;
2023-01-31;7;57,4;26,6;
2023-02-28;9;null;25,6;
2023-03-31;8;72,6;25,2;
2023-04-30;3;null;20,3;
2023-05-31;2;null;null;
2023-06-30;6;null;null;
2023-07-31;null;null;null;
2023-08-31;10;78,6;15,4;
2023-09-30;19;546,4;17,6;
2023-10-31;12;154,6;18,7;
2023-11-30;15;192,2;21,7;
2023-12-31;14;159,8;23,9;
2024-01-31;6;117,6;24,3;
2024-02-29;6;118,2;25,9;
2024-03-31;10;151;23,3;
2024-04-30;18;427,4;20,8;
2024-05-31;17;213,4;14,2;
2024-06-30;11;207,4;16,4;
2024-07-31;9;26,6;12,3;
2024-08-31;13;201,2;14,5;
2024-09-30;13;148,6;18,1;
2024-10-31;4;null;null;

