Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;154;25,1;
2020-02-29;10;144,2;25,1;
2020-03-31;null;null;25,4;
2020-04-30;null;null;22,7;
2020-05-31;5;54,8;19,5;
2020-06-30;10;143,8;20,5;
2020-07-31;4;23,2;19,9;
2020-08-31;9;163,8;20,6;
2020-09-30;2;9,2;26,3;
2020-10-31;12;142,4;25,7;
2020-11-30;6;54,8;25,4;
2020-12-31;18;181,6;24,7;
2021-01-31;23;333,2;24,1;
2021-02-28;9;13,6;24,8;
2021-03-31;15;132;25,3;
2021-04-30;1;2,8;23,1;
2021-05-31;6;130,4;20,7;
2021-06-30;9;32,2;18,8;
2021-07-31;3;46,4;18,6;
2021-08-31;5;25,8;22,2;
2021-09-30;6;47,6;25,4;
2021-10-31;16;398,6;21,9;
2021-11-30;6;41;25,3;
2021-12-31;6;45,6;26,3;
2022-01-31;15;157;25,4;
2022-02-28;12;79,2;26;
2022-03-31;18;269,4;24,8;
2022-04-30;7;111;23;
2022-05-31;5;35,8;18,9;
2022-06-30;7;65,4;18,6;
2022-07-31;3;2;21,7;
2022-08-31;9;104,4;19,8;
2022-09-30;15;119,6;19,6;
2022-10-31;14;187,6;22,7;
2022-11-30;8;null;23,7;
2022-12-31;16;141,2;24,5;
2023-01-31;9;null;24;
2023-02-28;15;null;23,6;
2023-03-31;18;293,2;25;
2023-04-30;10;164,2;22,7;
2023-05-31;2;32,4;21,2;
2023-06-30;3;91,6;18,9;
2023-07-31;5;19,8;20,2;
2023-08-31;9;50,6;22;
2023-09-30;7;86;25,2;
2023-10-31;15;238,2;25;
2023-11-30;15;295;25,3;
2023-12-31;10;194,6;26,1;
2024-01-31;12;145,6;25,7;
2024-02-29;19;106,8;26,3;
2024-03-31;4;24,4;26,9;
2024-04-30;6;null;25,3;
2024-05-31;4;null;22,4;
2024-06-30;null;null;22,1;
2024-07-31;5;42,4;20,4;
2024-08-31;2;null;23,2;
2024-09-30;4;44;25,9;
2024-10-31;1;null;null;

