Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;58,4;23,2;
2020-02-29;4;86,8;22,7;
2020-03-31;11;40,2;22,5;
2020-04-30;11;80,8;18,5;
2020-05-31;10;163,4;15;
2020-06-30;18;139,2;13,4;
2020-07-31;10;62,6;11,5;
2020-08-31;8;63,6;13,4;
2020-09-30;11;163,4;13,8;
2020-10-31;13;67,8;16,8;
2020-11-30;9;39,6;19,3;
2020-12-31;5;null;22,5;
2021-01-31;6;173,2;23,4;
2021-02-28;15;302,2;22,2;
2021-03-31;19;128,6;21,6;
2021-04-30;13;112,6;19,3;
2021-05-31;15;41,8;12,8;
2021-06-30;12;null;13,1;
2021-07-31;null;null;null;
2021-08-31;1;null;null;
2021-09-30;16;230,8;15,8;
2021-10-31;12;66,8;17,3;
2021-11-30;9;30,2;20,5;
2021-12-31;8;44,8;22;
2022-01-31;15;144;24,7;
2022-02-28;13;85;22,6;
2022-03-31;11;57,8;20,3;
2022-04-30;16;95;17,6;
2022-05-31;22;41;13,4;
2022-06-30;16;84,6;10,1;
2022-07-31;28;283,4;13,1;
2022-08-31;17;91,8;12,4;
2022-09-30;15;78,2;13,7;
2022-10-31;19;55,2;16,4;
2022-11-30;7;58,4;20,2;
2022-12-31;9;11,8;22,7;
2023-01-31;7;38,4;24,3;
2023-02-28;15;91,6;23,1;
2023-03-31;null;null;23,9;
2023-04-30;7;null;18,2;
2023-05-31;17;127;16,3;
2023-06-30;13;null;12,7;
2023-07-31;22;31;12,7;
2023-08-31;5;3,6;13,3;
2023-09-30;21;389,6;14,8;
2023-10-31;13;71,2;16,7;
2023-11-30;17;234,4;19,4;
2023-12-31;16;136;21,6;
2024-01-31;12;33,6;23;
2024-02-29;10;63,4;24,3;
2024-03-31;15;222,2;22;
2024-04-30;18;195,2;19;
2024-05-31;24;497,4;13,6;
2024-06-30;15;126;14,7;
2024-07-31;14;12,4;10,6;
2024-08-31;15;167,8;12,8;
2024-09-30;19;201,8;16;
2024-10-31;3;null;null;

