Nome: SOLEDADE
Codigo Estacao: A837
Latitude: -28.859211
Longitude: -52.542387
Altitude: 660.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;125,4;22,1;
2020-02-29;6;27,2;21,3;
2020-03-31;5;31;22,4;
2020-04-30;6;44,2;17,4;
2020-05-31;11;174,8;14,8;
2020-06-30;14;232,4;14,5;
2020-07-31;8;null;11,4;
2020-08-31;1;null;15,3;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;11;null;20,2;
2021-03-31;16;140,8;20,2;
2021-04-30;4;7;18,1;
2021-05-31;10;226,4;13,5;
2021-06-30;16;181,8;12,1;
2021-07-31;6;25;12,5;
2021-08-31;11;136,6;15,3;
2021-09-30;15;133,8;16,3;
2021-10-31;13;151,6;17,3;
2021-11-30;6;30,2;20,1;
2021-12-31;4;11,4;22;
2022-01-31;12;91;24,2;
2022-02-28;9;110,2;22,3;
2022-03-31;16;236;19,6;
2022-04-30;11;214,8;17,2;
2022-05-31;22;297,8;12,9;
2022-06-30;12;233,8;11,3;
2022-07-31;11;63,4;16,2;
2022-08-31;9;107,2;13,3;
2022-09-30;15;71;13,7;
2022-10-31;14;107;16,2;
2022-11-30;7;51,4;18,3;
2022-12-31;9;89;22;
2023-01-31;12;56;23,4;
2023-02-28;10;76,8;21,6;
2023-03-31;12;48,8;22,4;
2023-04-30;12;45,8;17,6;
2023-05-31;11;275,2;16,1;
2023-06-30;13;152,6;14,1;
2023-07-31;10;174;13,8;
2023-08-31;9;73,4;15,6;
2023-09-30;17;440,6;17,1;
2023-10-31;13;323;16,8;
2023-11-30;17;469,2;19,8;
2023-12-31;14;157;22,1;
2024-01-31;11;120;21,3;
2024-02-29;14;142;23;
2024-03-31;23;121,6;21,3;
2024-04-30;20;281;19,8;
2024-05-31;24;773,8;14,4;
2024-06-30;12;265,6;15,9;
2024-07-31;12;57,6;12,3;
2024-08-31;11;77,4;14,7;
2024-09-30;11;138,2;18;
2024-10-31;2;null;null;

