Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.80805555
Longitude: -51.83416666
Altitude: 92.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;163;23,4;
2020-02-29;13;44;23;
2020-03-31;15;44,8;23;
2020-04-30;12;48,2;18,9;
2020-05-31;11;117,6;15,6;
2020-06-30;17;null;15,4;
2020-07-31;16;null;14;
2020-08-31;19;80,4;14,9;
2020-09-30;23;246,8;15,2;
2020-10-31;22;131,2;17,5;
2020-11-30;16;31,4;20,1;
2020-12-31;15;94;22,3;
2021-01-31;17;104;23,8;
2021-02-28;17;70,6;22,5;
2021-03-31;25;111,2;21,9;
2021-04-30;18;13,6;19,8;
2021-05-31;25;95,2;13,9;
2021-06-30;8;null;13,1;
2021-07-31;5;7,4;12,2;
2021-08-31;10;null;14,8;
2021-09-30;2;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;12;null;21,7;
2022-01-31;15;175;24,4;
2022-02-28;18;119,8;22,9;
2022-03-31;23;106;20,8;
2022-04-30;19;81,2;18,2;
2022-05-31;20;null;14,1;
2022-06-30;15;null;10,7;
2022-07-31;18;null;14,5;
2022-08-31;22;90;13,3;
2022-09-30;19;null;14,5;
2022-10-31;19;112,6;17,3;
2022-11-30;10;null;20,3;
2022-12-31;14;null;22,7;
2023-01-31;5;null;24,4;
2023-02-28;9;null;null;
2023-03-31;4;null;23,9;
2023-04-30;17;59,2;18,6;
2023-05-31;25;176,4;16,7;
2023-06-30;26;144;14,5;
2023-07-31;26;238,2;13,8;
2023-08-31;19;93,8;14,6;
2023-09-30;25;383,4;16,4;
2023-10-31;17;90,6;17,1;
2023-11-30;20;200,2;19,8;
2023-12-31;21;135;22,5;
2024-01-31;20;125,8;22,8;
2024-02-29;17;97,6;24,3;
2024-03-31;17;40,4;22,5;
2024-04-30;22;289,8;19,9;
2024-05-31;2;null;null;
2024-06-30;17;null;16,1;
2024-07-31;24;95,8;11,8;
2024-08-31;22;144,4;13,8;
2024-09-30;21;325,6;16,9;
2024-10-31;3;null;null;

