Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;220,4;22,1;
2020-02-29;7;78,6;21,4;
2020-03-31;5;17,2;22,3;
2020-04-30;5;37,4;17,5;
2020-05-31;12;137,4;14,5;
2020-06-30;8;null;15,1;
2020-07-31;5;null;14,2;
2020-08-31;6;94,6;15;
2020-09-30;11;92;17,4;
2020-10-31;4;43,6;19,6;
2020-11-30;11;122,6;20;
2020-12-31;12;126;21,8;
2021-01-31;18;207,6;21,5;
2021-02-28;9;71,8;20,6;
2021-03-31;16;170,4;20,8;
2021-04-30;5;10;18,4;
2021-05-31;13;131,8;13,8;
2021-06-30;17;181,6;12,2;
2021-07-31;6;35,8;11,9;
2021-08-31;6;75,8;15,7;
2021-09-30;12;200,6;17;
2021-10-31;14;172;17,7;
2021-11-30;8;44;20,8;
2021-12-31;6;33,8;22,8;
2022-01-31;14;70,8;24,1;
2022-02-28;11;197;22,7;
2022-03-31;19;204,8;20;
2022-04-30;13;243,4;17,5;
2022-05-31;19;374,2;13,2;
2022-06-30;16;313,4;11,6;
2022-07-31;10;72,8;15,8;
2022-08-31;11;121;13,2;
2022-09-30;14;55,8;13,9;
2022-10-31;16;159,6;16,8;
2022-11-30;12;97,8;18,7;
2022-12-31;12;53;22,4;
2023-01-31;15;149,4;23;
2023-02-28;14;85,4;21,4;
2023-03-31;12;122,8;22,1;
2023-04-30;14;70,6;17,9;
2023-05-31;4;null;15,7;
2023-06-30;12;145;14;
2023-07-31;12;235,2;13,9;
2023-08-31;9;105,8;15,5;
2023-09-30;15;484,6;17,7;
2023-10-31;11;null;18,3;
2023-11-30;16;533,2;20,4;
2023-12-31;16;197,6;22,6;
2024-01-31;15;220,8;21,8;
2024-02-29;14;299,8;23;
2024-03-31;13;189,8;21,5;
2024-04-30;16;246,2;20,5;
2024-05-31;22;383,6;15,1;
2024-06-30;10;259,6;16;
2024-07-31;10;68,6;12,8;
2024-08-31;10;108,6;14,9;
2024-09-30;9;140,6;18,4;
2024-10-31;2;null;null;

