Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;148,8;22,1;
2020-02-29;8;68,4;21,5;
2020-03-31;6;33;22,1;
2020-04-30;2;null;18,5;
2020-05-31;11;134,6;14,8;
2020-06-30;13;198,2;14,8;
2020-07-31;18;360,6;11,3;
2020-08-31;7;111,8;14,7;
2020-09-30;17;134,4;16,2;
2020-10-31;7;50;18,1;
2020-11-30;7;39;19,3;
2020-12-31;16;125;21,1;
2021-01-31;17;180,8;21,9;
2021-02-28;10;109,8;20,9;
2021-03-31;18;148,6;20,5;
2021-04-30;6;6,8;18,3;
2021-05-31;17;198;13,1;
2021-06-30;14;167,2;12,1;
2021-07-31;8;35,4;12,2;
2021-08-31;12;117,2;15,2;
2021-09-30;13;157,4;16,4;
2021-10-31;14;105,8;17,2;
2021-11-30;9;40,2;19,6;
2021-12-31;5;31,2;21,5;
2022-01-31;11;81,6;23,9;
2022-02-28;10;100,2;22,4;
2022-03-31;21;177,8;19,9;
2022-04-30;12;154;17,3;
2022-05-31;22;295;12,8;
2022-06-30;18;203;11;
2022-07-31;12;147,8;15,7;
2022-08-31;16;105,4;13,3;
2022-09-30;19;55,6;13,9;
2022-10-31;19;98;16,4;
2022-11-30;7;78,2;18,2;
2022-12-31;13;137,6;21,6;
2023-01-31;13;86,8;23,2;
2023-02-28;14;138,4;21,5;
2023-03-31;14;89,4;22,3;
2023-04-30;13;62,2;17,5;
2023-05-31;10;null;15,8;
2023-06-30;7;null;14,1;
2023-07-31;7;163,8;13,5;
2023-08-31;9;65,8;15,4;
2023-09-30;19;427;17;
2023-10-31;15;232;16,8;
2023-11-30;17;275,8;19,5;
2023-12-31;18;125,6;22;
2024-01-31;18;180,8;21,3;
2024-02-29;14;149,2;23,2;
2024-03-31;15;72,6;21,7;
2024-04-30;19;330,2;19,5;
2024-05-31;25;763;14,4;
2024-06-30;14;343;15,7;
2024-07-31;16;74,2;12,2;
2024-08-31;11;77,4;14,5;
2024-09-30;11;121,8;17,9;
2024-10-31;2;null;null;

