Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;184,8;21,3;
2020-02-29;8;109,2;20,7;
2020-03-31;7;18,2;21,1;
2020-04-30;7;44;16,7;
2020-05-31;11;162,8;13,9;
2020-06-30;17;227,2;13,9;
2020-07-31;16;351,2;12,1;
2020-08-31;7;91,2;14,5;
2020-09-30;10;116;16,9;
2020-10-31;6;40,4;18,7;
2020-11-30;12;94,8;18,9;
2020-12-31;18;105,6;20,9;
2021-01-31;20;null;20,9;
2021-02-28;7;69,8;20,2;
2021-03-31;13;239;20,2;
2021-04-30;4;13,2;17,2;
2021-05-31;5;16,4;13,2;
2021-06-30;4;18,4;11,7;
2021-07-31;5;4,2;11,4;
2021-08-31;3;22,8;15,2;
2021-09-30;19;205,2;16,6;
2021-10-31;15;134,2;16,8;
2021-11-30;8;91,2;19,8;
2021-12-31;7;25,8;21,4;
2022-01-31;8;null;23;
2022-02-28;13;61,8;21,8;
2022-03-31;7;null;null;
2022-04-30;null;null;null;
2022-05-31;8;null;null;
2022-06-30;18;297,2;11,2;
2022-07-31;13;67,8;15,4;
2022-08-31;13;132,2;12,7;
2022-09-30;12;59,2;13,1;
2022-10-31;15;167,6;16,2;
2022-11-30;11;39,6;17,5;
2022-12-31;15;107,2;21,1;
2023-01-31;11;50;22,2;
2023-02-28;14;62;20,7;
2023-03-31;14;49,8;21,2;
2023-04-30;12;75,2;17;
2023-05-31;8;96;15,5;
2023-06-30;11;126;13,2;
2023-07-31;14;166,4;13,3;
2023-08-31;9;64,2;14,7;
2023-09-30;17;321,6;17,1;
2023-10-31;17;399,4;16,8;
2023-11-30;17;386,2;19,4;
2023-12-31;12;87,2;21,7;
2024-01-31;16;159;21;
2024-02-29;13;128,2;22,5;
2024-03-31;12;92,6;21,1;
2024-04-30;17;168,8;19,7;
2024-05-31;23;349,8;14,8;
2024-06-30;12;207,8;15;
2024-07-31;14;133;12,3;
2024-08-31;8;87;14,5;
2024-09-30;9;120,6;18;
2024-10-31;2;null;null;

