Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;26;525,4;14,4;
2020-02-29;26;244;13,2;
2020-03-31;26;155;13,4;
2020-04-30;23;73,4;10,2;
2020-05-31;16;37,8;9,6;
2020-06-30;24;222,4;9,5;
2020-07-31;19;198,8;7,7;
2020-08-31;12;158;10,1;
2020-09-30;24;174,6;11,2;
2020-10-31;22;211,6;11,8;
2020-11-30;28;259,4;10,9;
2020-12-31;31;254,8;13,4;
2021-01-31;29;461,6;14,1;
2021-02-28;17;233,8;13,5;
2021-03-31;30;230,6;13,6;
2021-04-30;25;202,2;10,2;
2021-05-31;17;163,8;8,9;
2021-06-30;23;294;7;
2021-07-31;12;51,8;7;
2021-08-31;22;58,8;9,3;
2021-09-30;25;228,8;11;
2021-10-31;26;280;9,8;
2021-11-30;26;209,6;12;
2021-12-31;28;257,6;12,4;
2022-01-31;null;null;15,4;
2022-02-28;null;null;14,7;
2022-03-31;null;null;13,4;
2022-04-30;null;null;10,9;
2022-05-31;null;null;7,8;
2022-06-30;null;null;7,7;
2022-07-31;null;null;10,5;
2022-08-31;null;null;7,3;
2022-09-30;null;null;7,2;
2022-10-31;null;null;10,3;
2022-11-30;21;null;9,7;
2022-12-31;29;299;13,3;
2023-01-31;27;428,4;14,3;
2023-02-28;22;303,2;14;
2023-03-31;31;295,4;14,5;
2023-04-30;25;141,4;10,6;
2023-05-31;20;139,4;11,1;
2023-06-30;14;200;10;
2023-07-31;22;204,2;8,4;
2023-08-31;21;137,6;10;
2023-09-30;24;293,8;12;
2023-10-31;28;539,6;11,2;
2023-11-30;24;456,8;13,4;
2023-12-31;27;254,4;15,1;
2024-01-31;29;577;14;
2024-02-29;26;238,4;15,4;
2024-03-31;26;228,8;15;
2024-04-30;25;276,8;13,9;
2024-05-31;23;331,6;10,8;
2024-06-30;18;200;10,4;
2024-07-31;15;379,8;8,7;
2024-08-31;12;80,6;10,4;
2024-09-30;15;178,2;13,2;
2024-10-31;5;null;null;

