Nome: FOZ DO IGUACU
Codigo Estacao: A846
Latitude: -25.60194444
Longitude: -54.48305554
Altitude: 235.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;null;25,8;
2020-02-29;5;null;26;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;14;62;24,5;
2021-12-31;1;15;27,3;
2022-01-31;11;94,8;27,4;
2022-02-28;6;54,4;26,5;
2022-03-31;9;162;23,8;
2022-04-30;11;194,6;21;
2022-05-31;13;null;16,3;
2022-06-30;11;22,2;16;
2022-07-31;null;null;null;
2022-08-31;2;null;17,6;
2022-09-30;11;null;17,6;
2022-10-31;17;375,2;20,6;
2022-11-30;5;73,6;22;
2022-12-31;6;53,6;25,7;
2023-01-31;13;218,2;25,3;
2023-02-28;12;238,4;23,9;
2023-03-31;12;129,8;24,8;
2023-04-30;12;174,2;20,9;
2023-05-31;15;161;18,8;
2023-06-30;10;null;17,9;
2023-07-31;7;123,2;18,3;
2023-08-31;4;49,6;19,9;
2023-09-30;11;283,8;22,9;
2023-10-31;16;422,4;22,6;
2023-11-30;18;201,2;24,2;
2023-12-31;15;108,6;25,7;
2024-01-31;12;69,2;26,3;
2024-02-29;11;16;27,1;
2024-03-31;null;null;26,4;
2024-04-30;null;null;24;
2024-05-31;null;null;18,9;
2024-06-30;null;null;20,1;
2024-07-31;null;null;16,5;
2024-08-31;null;null;18,7;
2024-09-30;null;null;22,7;
2024-10-31;null;null;null;

