Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;284,6;22,9;
2020-02-29;10;121,4;22,1;
2020-03-31;4;63,8;23,1;
2020-04-30;6;61,2;18,8;
2020-05-31;12;238,6;15,7;
2020-06-30;16;191,8;16;
2020-07-31;11;134,4;15,1;
2020-08-31;9;153,8;17,4;
2020-09-30;6;10,6;21;
2020-10-31;10;68,2;22,2;
2020-11-30;11;70,6;21,8;
2020-12-31;12;142;22,6;
2021-01-31;10;null;22,6;
2021-02-28;4;null;22,5;
2021-03-31;15;121,6;22,1;
2021-04-30;7;39,8;19,2;
2021-05-31;6;105,6;16,6;
2021-06-30;15;180,2;14,4;
2021-07-31;4;73;14,3;
2021-08-31;7;34,8;18;
2021-09-30;9;139;20,4;
2021-10-31;17;323;18,8;
2021-11-30;8;137,6;21,9;
2021-12-31;3;34,4;24,3;
2022-01-31;13;257,8;24,1;
2022-02-28;8;96,6;23,7;
2022-03-31;15;365,2;20,8;
2022-04-30;15;351;18,8;
2022-05-31;10;null;13,9;
2022-06-30;3;null;null;
2022-07-31;8;null;17,7;
2022-08-31;10;307,8;15,3;
2022-09-30;16;152;15,1;
2022-10-31;17;420,4;18,1;
2022-11-30;8;100,8;19,6;
2022-12-31;10;49,4;23;
2023-01-31;15;194,8;22,9;
2023-02-28;14;161,6;21,5;
2023-03-31;18;168,4;22,4;
2023-04-30;9;211,8;19;
2023-05-31;9;171,6;17,7;
2023-06-30;9;159,8;15,4;
2023-07-31;11;187,6;16,3;
2023-08-31;10;175,2;17,9;
2023-09-30;13;246;20,7;
2023-10-31;17;540,4;19,7;
2023-11-30;13;367,4;21,8;
2023-12-31;18;238,8;23,3;
2024-01-31;16;139,4;23,1;
2024-02-29;18;290;24;
2024-03-31;13;180;23,4;
2024-04-30;14;325,6;21,7;
2024-05-31;19;313;16,8;
2024-06-30;10;196,8;17,9;
2024-07-31;12;191;14,7;
2024-08-31;6;130,6;17,2;
2024-09-30;7;98,8;20,8;
2024-10-31;1;null;null;

