Nome: DIAMANTE DO NORTE
Codigo Estacao: A849
Latitude: -22.63944444
Longitude: -52.89027777
Altitude: 368.22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;164,2;25,9;
2020-02-29;11;242,4;25,5;
2020-03-31;7;11,2;25,7;
2020-04-30;6;64,8;22,7;
2020-05-31;7;59,4;19,5;
2020-06-30;11;null;21,2;
2020-07-31;3;null;19,9;
2020-08-31;3;null;22,5;
2020-09-30;3;14,6;26;
2020-10-31;14;91,4;26,4;
2020-11-30;5;8;26;
2020-12-31;2;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;10;null;27,2;
2022-01-31;4;null;null;
2022-02-28;4;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;9;52,4;26;
2023-01-31;17;140,6;25,3;
2023-02-28;19;189,4;24,5;
2023-03-31;19;130,2;25,5;
2023-04-30;9;225;23,2;
2023-05-31;2;25,2;21,4;
2023-06-30;4;82;19;
2023-07-31;7;20,6;20,7;
2023-08-31;5;43,4;22,7;
2023-09-30;8;89,2;25,3;
2023-10-31;12;247,6;26;
2023-11-30;14;116,8;26;
2023-12-31;11;150,2;26,9;
2024-01-31;12;98,2;26,7;
2024-02-29;10;92,4;27,2;
2024-03-31;7;46,4;27,2;
2024-04-30;6;45,8;26,2;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;3;null;22,5;
2024-09-30;6;63,2;25,4;
2024-10-31;null;null;null;

