Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;160,8;26,2;
2020-02-29;12;206,8;25,6;
2020-03-31;7;39,4;25,5;
2020-04-30;2;40,8;22,8;
2020-05-31;3;42,8;19,5;
2020-06-30;11;149;20,9;
2020-07-31;3;10;19,8;
2020-08-31;9;168;20,4;
2020-09-30;2;12,4;25,5;
2020-10-31;12;74,4;26,1;
2020-11-30;6;null;25,7;
2020-12-31;4;null;26,3;
2021-01-31;4;null;null;
2021-02-28;null;null;null;
2021-03-31;2;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;1;null;null;
2021-11-30;4;27,6;26,2;
2021-12-31;5;22,4;27,4;
2022-01-31;14;227;26,7;
2022-02-28;8;59,4;26,6;
2022-03-31;15;296;25,6;
2022-04-30;9;103;23,6;
2022-05-31;8;45;18,9;
2022-06-30;8;68,6;19;
2022-07-31;3;2,4;21;
2022-08-31;1;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;14;97,2;25,7;
2023-01-31;13;195,6;25,2;
2023-02-28;20;null;25;
2023-03-31;15;146,4;25,8;
2023-04-30;10;136;23,6;
2023-05-31;3;36,8;21;
2023-06-30;null;null;19,5;
2023-07-31;1;null;20,3;
2023-08-31;null;null;22,4;
2023-09-30;null;null;25,4;
2023-10-31;10;null;25,9;
2023-11-30;14;122,4;25,8;
2023-12-31;10;146,4;26,8;
2024-01-31;10;60,8;26,8;
2024-02-29;13;77,4;27,3;
2024-03-31;9;30;27,4;
2024-04-30;8;55,8;26;
2024-05-31;2;null;25,1;
2024-06-30;0;0;22,5;
2024-07-31;1;3,6;20,3;
2024-08-31;2;null;21,6;
2024-09-30;5;76,8;24,9;
2024-10-31;null;null;null;

