Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;157,2;23,4;
2020-02-29;9;34;22,2;
2020-03-31;3;19,6;23,8;
2020-04-30;6;38,2;18,4;
2020-05-31;11;200,6;15;
2020-06-30;14;256,4;15;
2020-07-31;16;299,8;12,4;
2020-08-31;8;107,6;15,1;
2020-09-30;15;83,6;16,8;
2020-10-31;8;37,8;20;
2020-11-30;7;52;21,4;
2020-12-31;12;121,6;22,9;
2021-01-31;14;null;22,5;
2021-02-28;7;65,2;21,3;
2021-03-31;9;104;21,1;
2021-04-30;6;46,4;19;
2021-05-31;9;215,4;14;
2021-06-30;10;138,6;12,7;
2021-07-31;3;14;12,5;
2021-08-31;5;164,2;15,6;
2021-09-30;13;161,6;17;
2021-10-31;14;239;18,5;
2021-11-30;4;26,6;22;
2021-12-31;6;57;23,8;
2022-01-31;10;60;25,8;
2022-02-28;5;50,4;24;
2022-03-31;13;220,6;20,7;
2022-04-30;14;195,6;18,1;
2022-05-31;21;217,8;13,5;
2022-06-30;16;195,2;11,9;
2022-07-31;14;110,6;16,7;
2022-08-31;12;88,6;13,6;
2022-09-30;13;55,8;14,2;
2022-10-31;13;109;17,1;
2022-11-30;8;54,6;20,1;
2022-12-31;7;68,2;23,8;
2023-01-31;10;62,8;24,7;
2023-02-28;8;null;22,8;
2023-03-31;10;133,4;23,3;
2023-04-30;12;27,8;18,6;
2023-05-31;10;null;16,2;
2023-06-30;11;117,2;14,7;
2023-07-31;12;143;14,3;
2023-08-31;7;46,2;16;
2023-09-30;16;449,2;18;
2023-10-31;15;364;18;
2023-11-30;11;null;21,1;
2023-12-31;15;268,6;23,1;
2024-01-31;9;95;22,6;
2024-02-29;10;null;24,1;
2024-03-31;15;161,4;22,2;
2024-04-30;13;261,8;21;
2024-05-31;19;425,6;15,1;
2024-06-30;10;263;16,8;
2024-07-31;12;37,8;12,9;
2024-08-31;9;84,2;14,7;
2024-09-30;10;135,8;18,2;
2024-10-31;2;null;null;

