Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;1;null;null;
2020-03-31;null;null;null;
2020-04-30;1;null;null;
2020-05-31;1;null;null;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;1;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;16;200,2;21,5;
2021-01-31;27;332,8;21,8;
2021-02-28;15;58,6;21,2;
2021-03-31;21;176,8;21,3;
2021-04-30;9;4,4;17,6;
2021-05-31;15;108,4;14,3;
2021-06-30;21;197,8;13;
2021-07-31;10;23,8;10,9;
2021-08-31;13;51,4;15,4;
2021-09-30;19;164,2;16,9;
2021-10-31;21;153,4;17,1;
2021-11-30;12;83,2;20,1;
2021-12-31;12;71,8;21,3;
2022-01-31;16;255,6;22,8;
2022-02-28;15;72,4;22,4;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;3;null;null;
2022-11-30;13;81,4;18;
2022-12-31;21;336,2;21,4;
2023-01-31;19;338,6;21,7;
2023-02-28;19;218,4;21,5;
2023-03-31;19;276,6;21,7;
2023-04-30;17;146,8;17,9;
2023-05-31;16;51;15,7;
2023-06-30;23;173;13,4;
2023-07-31;22;191;13,9;
2023-08-31;17;88;15,2;
2023-09-30;19;138,4;18,4;
2023-10-31;3;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;5;null;null;
2024-04-30;20;197,2;20,1;
2024-05-31;24;332,2;16,8;
2024-06-30;21;64,6;15,6;
2024-07-31;29;202,8;13,1;
2024-08-31;18;32,8;14,4;
2024-09-30;13;108,8;18,1;
2024-10-31;2;null;null;

