Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 856
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;106;20,6;
2020-02-29;18;157,8;19,9;
2020-03-31;14;20,2;19,3;
2020-04-30;13;43,4;16,5;
2020-05-31;16;39,6;13,5;
2020-06-30;20;100,6;14,4;
2020-07-31;16;97,6;12,9;
2020-08-31;20;126,4;13,3;
2020-09-30;8;37;16,8;
2020-10-31;10;94,2;18,1;
2020-11-30;22;50,4;18;
2020-12-31;22;169,6;19,9;
2021-01-31;29;252,2;20,1;
2021-02-28;18;106,2;20;
2021-03-31;20;131,2;20,1;
2021-04-30;18;17,2;16,7;
2021-05-31;16;110,2;13,8;
2021-06-30;20;126,6;12,5;
2021-07-31;13;37,4;10,3;
2021-08-31;14;56,6;14,8;
2021-09-30;17;117,2;16,3;
2021-10-31;22;168,4;15,4;
2021-11-30;13;100,2;18,1;
2021-12-31;17;140,8;19;
2022-01-31;18;182,6;20,8;
2022-02-28;10;32,2;21,1;
2022-03-31;24;270,2;19,9;
2022-04-30;18;7,4;16,6;
2022-05-31;20;184,6;13,3;
2022-06-30;12;null;11,6;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;2;null;null;
2022-11-30;13;159,4;16,4;
2022-12-31;22;245,6;19,6;
2023-01-31;15;234,2;20,2;
2023-02-28;21;211,8;20,1;
2023-03-31;21;111,8;20,5;
2023-04-30;18;98,2;16,8;
2023-05-31;16;21,2;15,4;
2023-06-30;21;124,8;13,1;
2023-07-31;18;115;13,2;
2023-08-31;19;81,4;14,6;
2023-09-30;14;142;17,7;
2023-10-31;11;null;17;
2023-11-30;9;null;19,1;
2023-12-31;4;null;null;
2024-01-31;2;null;null;
2024-02-29;null;null;null;
2024-03-31;1;null;null;
2024-04-30;15;null;18,8;
2024-05-31;18;202,8;16,7;
2024-06-30;16;48,2;15,3;
2024-07-31;24;161,4;12,4;
2024-08-31;6;24,4;13,9;
2024-09-30;13;137,8;17,6;
2024-10-31;1;null;null;

