Nome: MAJOR VIEIRA
Codigo Estacao: A864
Latitude: -26.3936111
Longitude: -50.36333333
Altitude: 799.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;76,8;21,3;
2020-02-29;6;20;20,4;
2020-03-31;null;null;20;
2020-04-30;null;null;16,4;
2020-05-31;null;null;13,2;
2020-06-30;null;null;14,3;
2020-07-31;null;null;12,4;
2020-08-31;null;null;12,8;
2020-09-30;null;null;17;
2020-10-31;null;null;18,9;
2020-11-30;null;null;18,9;
2020-12-31;null;null;20,7;
2021-01-31;null;null;20,5;
2021-02-28;null;null;19,9;
2021-03-31;null;null;20,7;
2021-04-30;null;null;17;
2021-05-31;null;null;13,6;
2021-06-30;null;null;12,3;
2021-07-31;null;null;9,9;
2021-08-31;null;null;14,5;
2021-09-30;null;null;16,5;
2021-10-31;null;null;16,1;
2021-11-30;null;null;19,6;
2021-12-31;null;null;20,7;
2022-01-31;null;null;21,6;
2022-02-28;null;null;21,3;
2022-03-31;null;null;20,1;
2022-04-30;null;null;16,7;
2022-05-31;null;null;13,1;
2022-06-30;null;null;12,2;
2022-07-31;null;null;13,8;
2022-08-31;null;null;null;
2022-09-30;null;null;13,7;
2022-10-31;3;null;16,8;
2022-11-30;9;null;17,3;
2022-12-31;17;145,6;20,6;
2023-01-31;17;189,6;20,4;
2023-02-28;18;278;20,3;
2023-03-31;16;87,6;20,7;
2023-04-30;12;114,4;17;
2023-05-31;17;39,8;14,5;
2023-06-30;25;112,2;12,1;
2023-07-31;20;164,8;13,1;
2023-08-31;7;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;11;null;21;
2023-12-31;13;106;22,7;
2024-01-31;20;123,2;21,4;
2024-02-29;14;80,8;22,2;
2024-03-31;14;115,4;21,9;
2024-04-30;14;93,2;20,1;
2024-05-31;null;null;17,1;
2024-06-30;null;null;15;
2024-07-31;5;4;12,7;
2024-08-31;4;8,2;14;
2024-09-30;null;null;18,5;
2024-10-31;null;null;null;

