Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;39,8;20,6;
2020-02-29;4;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;1;null;null;
2021-06-30;1;null;null;
2021-07-31;1;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;3;null;null;
2022-11-30;7;null;17,3;
2022-12-31;15;194;20;
2023-01-31;17;218,8;20,3;
2023-02-28;13;79,8;19,8;
2023-03-31;21;198,6;19,7;
2023-04-30;4;null;null;
2023-05-31;9;null;15,1;
2023-06-30;7;null;null;
2023-07-31;12;null;12;
2023-08-31;16;74,4;13,6;
2023-09-30;18;222,8;16,1;
2023-10-31;19;414,8;15,8;
2023-11-30;17;442,8;18;
2023-12-31;13;112,2;20,6;
2024-01-31;17;193;19,9;
2024-02-29;16;153,2;21,5;
2024-03-31;12;170,2;20,2;
2024-04-30;18;168,4;18,6;
2024-05-31;27;260;14,7;
2024-06-30;22;188,8;13,9;
2024-07-31;20;195,6;11,7;
2024-08-31;8;48,6;13,2;
2024-09-30;12;114,4;16,7;
2024-10-31;3;null;null;

