Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;83,8;20,5;
2020-02-29;13;87,4;19,8;
2020-03-31;14;84,4;18,4;
2020-04-30;17;55,6;14,1;
2020-05-31;21;121,4;11;
2020-06-30;26;150,4;13,1;
2020-07-31;25;98,6;11,2;
2020-08-31;22;109,6;12,1;
2020-09-30;16;46,4;16,7;
2020-10-31;null;null;17,8;
2020-11-30;null;null;17,6;
2020-12-31;null;null;19,8;
2021-01-31;12;125,8;20,3;
2021-02-28;21;35,8;19;
2021-03-31;null;null;19,5;
2021-04-30;null;null;15,1;
2021-05-31;17;56,6;12,2;
2021-06-30;12;22,8;11,4;
2021-07-31;6;64,4;8;
2021-08-31;12;36,2;13,6;
2021-09-30;11;140;16,2;
2021-10-31;23;286,8;15,8;
2021-11-30;11;94,2;18,7;
2021-12-31;9;33,8;20,1;
2022-01-31;18;269,2;20,7;
2022-02-28;15;166,4;20,3;
2022-03-31;21;220,6;19,3;
2022-04-30;14;164,8;15,7;
2022-05-31;19;117,6;11,9;
2022-06-30;11;null;10,8;
2022-07-31;14;null;12,9;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;4;null;null;
2022-11-30;15;75;16;
2022-12-31;20;195,6;19,5;
2023-01-31;20;162,4;19,9;
2023-02-28;22;184,8;19,3;
2023-03-31;25;82;19,8;
2023-04-30;19;183,8;15,5;
2023-05-31;14;68,6;13,2;
2023-06-30;23;124,2;11,4;
2023-07-31;15;null;12,4;
2023-08-31;12;null;13,2;
2023-09-30;14;null;16,9;
2023-10-31;9;null;null;
2023-11-30;8;null;19,4;
2023-12-31;18;113,6;21;
2024-01-31;20;164,4;20,2;
2024-02-29;19;null;21,3;
2024-03-31;17;66,4;20,2;
2024-04-30;16;null;18,3;
2024-05-31;15;null;15,9;
2024-06-30;19;null;13;
2024-07-31;11;null;11,2;
2024-08-31;12;5,4;12,8;
2024-09-30;13;null;17,2;
2024-10-31;4;null;null;

