Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;233;20;
2020-02-29;15;153,8;19,2;
2020-03-31;7;35,4;19,7;
2020-04-30;13;42,6;15,6;
2020-05-31;10;171,6;13,3;
2020-06-30;15;245,2;13,4;
2020-07-31;18;412,4;11,1;
2020-08-31;12;136,4;13,4;
2020-09-30;19;181;14,3;
2020-10-31;12;135,6;15,8;
2020-11-30;8;121,2;16,9;
2020-12-31;18;57;19;
2021-01-31;null;null;20;
2021-02-28;14;170,2;19,2;
2021-03-31;23;163,2;18,7;
2021-04-30;12;25,6;16,4;
2021-05-31;21;241;11,6;
2021-06-30;18;188;10,7;
2021-07-31;5;35,8;11,6;
2021-08-31;13;159,8;13,6;
2021-09-30;17;197,6;14,7;
2021-10-31;15;null;14,1;
2021-11-30;13;120;17;
2021-12-31;5;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;11;null;10,9;
2022-06-30;22;261,2;10;
2022-07-31;14;174,6;14,5;
2022-08-31;19;183,4;11,6;
2022-09-30;16;129,4;12,1;
2022-10-31;24;150,2;14,5;
2022-11-30;14;102,6;15,9;
2022-12-31;16;82,6;19,1;
2023-01-31;16;119,6;20,8;
2023-02-28;14;210;19,5;
2023-03-31;16;227,2;20,5;
2023-04-30;15;133,2;15,6;
2023-05-31;17;152,4;14,7;
2023-06-30;15;230;12,7;
2023-07-31;12;237,4;12;
2023-08-31;12;108;13,5;
2023-09-30;21;433,6;15,4;
2023-10-31;23;356,4;14,9;
2023-11-30;17;452,2;17,6;
2023-12-31;18;158,8;20,2;
2024-01-31;24;263,4;19,3;
2024-02-29;15;272,2;21,1;
2024-03-31;15;143,8;19,9;
2024-04-30;23;325;17,9;
2024-05-31;25;767,2;13,5;
2024-06-30;15;345;14,3;
2024-07-31;18;117,6;10,7;
2024-08-31;14;123,6;13,3;
2024-09-30;14;166;16,4;
2024-10-31;3;null;null;

