Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;103,8;24,4;
2020-02-29;3;35,8;23,7;
2020-03-31;4;39,8;24,4;
2020-04-30;6;59,2;18,7;
2020-05-31;9;146,4;15;
2020-06-30;18;200,8;14,4;
2020-07-31;9;44;11,8;
2020-08-31;4;63,4;15,1;
2020-09-30;10;110;15,1;
2020-10-31;9;63,8;18,2;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;1;null;null;
2021-10-31;5;null;17,3;
2021-11-30;3;null;20,6;
2021-12-31;2;36,2;23,4;
2022-01-31;8;null;27;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;9;null;13,2;
2022-09-30;8;71,2;14,1;
2022-10-31;13;101,2;16,8;
2022-11-30;4;75,4;20,8;
2022-12-31;7;75,4;23,8;
2023-01-31;9;47,6;25,6;
2023-02-28;9;80,8;24;
2023-03-31;13;67,8;24,5;
2023-04-30;4;5,8;18,4;
2023-05-31;11;184;16,3;
2023-06-30;4;null;13,7;
2023-07-31;10;null;12,9;
2023-08-31;9;90;14,7;
2023-09-30;20;475,6;16,2;
2023-10-31;8;56,6;17,7;
2023-11-30;16;270,2;20,9;
2023-12-31;14;217,8;22,8;
2024-01-31;8;144,6;23,4;
2024-02-29;10;46,4;25,5;
2024-03-31;12;167,2;22,8;
2024-04-30;16;311,2;19,8;
2024-05-31;24;210,6;13,9;
2024-06-30;15;70,4;15,9;
2024-07-31;13;36,6;11,3;
2024-08-31;14;195,8;13,8;
2024-09-30;13;287,4;17,2;
2024-10-31;2;null;null;

