Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;164,2;24,9;
2020-02-29;8;92,8;24,5;
2020-03-31;5;25,4;24,5;
2020-04-30;9;24,4;20;
2020-05-31;13;203,4;16,6;
2020-06-30;16;146,8;16,8;
2020-07-31;16;null;13,4;
2020-08-31;null;null;16,2;
2020-09-30;2;null;17,1;
2020-10-31;null;null;20;
2020-11-30;null;null;21,7;
2020-12-31;null;null;23,9;
2021-01-31;null;null;25,1;
2021-02-28;null;null;23,4;
2021-03-31;null;null;22,9;
2021-04-30;null;null;20,5;
2021-05-31;null;null;14,8;
2021-06-30;null;null;14;
2021-07-31;null;null;13,4;
2021-08-31;null;null;16,9;
2021-09-30;null;null;18,1;
2021-10-31;null;null;19,5;
2021-11-30;null;null;null;
2021-12-31;7;18,8;24,2;
2022-01-31;16;198,2;26,8;
2022-02-28;12;37;24,8;
2022-03-31;20;182,4;22,3;
2022-04-30;17;173,6;19,2;
2022-05-31;28;169,8;15,1;
2022-06-30;18;188,4;13;
2022-07-31;21;129,8;17;
2022-08-31;17;126;14,8;
2022-09-30;13;91,6;16,2;
2022-10-31;12;72,4;18,7;
2022-11-30;6;71,6;20,8;
2022-12-31;8;135,4;24,1;
2023-01-31;8;31,6;25,9;
2023-02-28;12;165,6;24,5;
2023-03-31;10;127;25;
2023-04-30;13;25,6;19,7;
2023-05-31;21;223,6;17,5;
2023-06-30;14;265,2;16,6;
2023-07-31;13;204;15,7;
2023-08-31;10;56,2;17,6;
2023-09-30;18;443,4;18,9;
2023-10-31;15;183,8;19,1;
2023-11-30;17;416,6;21,7;
2023-12-31;16;180,6;24,6;
2024-01-31;14;133,4;23,9;
2024-02-29;8;108,6;25,8;
2024-03-31;11;90;23,9;
2024-04-30;16;244,6;21,5;
2024-05-31;21;null;16,9;
2024-06-30;17;223,6;18,3;
2024-07-31;3;null;null;
2024-08-31;11;null;15,6;
2024-09-30;18;179;19,2;
2024-10-31;2;null;null;

