Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;137,8;23,6;
2020-02-29;10;32,6;22,8;
2020-03-31;5;25,2;24;
2020-04-30;6;61,4;18,5;
2020-05-31;11;184,6;15,2;
2020-06-30;15;229,6;15,1;
2020-07-31;19;349;12,6;
2020-08-31;11;179;15,3;
2020-09-30;15;87,4;17,2;
2020-10-31;7;52,6;20,3;
2020-11-30;8;94,8;21,1;
2020-12-31;9;115,2;23,1;
2021-01-31;17;203,6;22,8;
2021-02-28;14;99;21,7;
2021-03-31;19;142,4;21,6;
2021-04-30;10;27;19,3;
2021-05-31;15;244;14;
2021-06-30;20;193;12,8;
2021-07-31;11;25,2;12,8;
2021-08-31;12;null;16,1;
2021-09-30;9;null;17,7;
2021-10-31;8;null;19,5;
2021-11-30;7;17;22,1;
2021-12-31;5;41;24,1;
2022-01-31;7;66,8;26;
2022-02-28;7;128,6;23,8;
2022-03-31;17;187,2;20,9;
2022-04-30;15;230,8;18,2;
2022-05-31;25;291,6;13,7;
2022-06-30;19;199;12;
2022-07-31;17;79;16,8;
2022-08-31;15;114;13,9;
2022-09-30;16;62,2;14,8;
2022-10-31;13;126;17,6;
2022-11-30;7;50,2;20,2;
2022-12-31;11;112,2;23,6;
2023-01-31;9;78,2;24,5;
2023-02-28;9;60,6;22,9;
2023-03-31;11;70,8;23,6;
2023-04-30;15;39,2;19,1;
2023-05-31;18;147,8;16,6;
2023-06-30;15;169;15;
2023-07-31;16;167;14,5;
2023-08-31;9;67,6;16,3;
2023-09-30;18;503,8;18,2;
2023-10-31;20;353,6;18,3;
2023-11-30;10;null;21,5;
2023-12-31;18;102,8;23,5;
2024-01-31;9;193,8;22,9;
2024-02-29;13;108,6;24,4;
2024-03-31;21;337,2;22,4;
2024-04-30;19;305,6;21,1;
2024-05-31;23;487,4;14,5;
2024-06-30;14;234;16,8;
2024-07-31;15;56,4;13,1;
2024-08-31;11;74,4;15,1;
2024-09-30;15;167,2;18,6;
2024-10-31;3;null;null;

