Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;84,4;25,7;
2020-02-29;8;88,2;24,9;
2020-03-31;7;10,6;24,8;
2020-04-30;16;23,2;20,4;
2020-05-31;17;171,2;16,5;
2020-06-30;17;189,2;16,7;
2020-07-31;20;277;13,4;
2020-08-31;20;130,6;15,8;
2020-09-30;18;210;17,6;
2020-10-31;12;91,8;20,3;
2020-11-30;8;70,6;21,9;
2020-12-31;13;104,6;24,3;
2021-01-31;12;167,6;25,3;
2021-02-28;10;null;24,4;
2021-03-31;17;106,4;23,6;
2021-04-30;11;22;21,2;
2021-05-31;20;199;14,8;
2021-06-30;21;157,6;14,1;
2021-07-31;18;32,6;12,9;
2021-08-31;18;154,2;16,8;
2021-09-30;18;183,4;18,4;
2021-10-31;9;126,4;19,9;
2021-11-30;10;131,4;22,2;
2021-12-31;10;70,8;23,9;
2022-01-31;9;189,4;26,4;
2022-02-28;9;73,4;25,3;
2022-03-31;21;231,8;22,6;
2022-04-30;20;150;19,5;
2022-05-31;25;152;15,4;
2022-06-30;21;168,4;13;
2022-07-31;19;166,6;16,5;
2022-08-31;19;129;14,9;
2022-09-30;13;100,6;16,6;
2022-10-31;16;146,4;19,1;
2022-11-30;8;106,8;20,8;
2022-12-31;10;128,4;24,2;
2023-01-31;10;63,2;25,8;
2023-02-28;12;122,8;24,4;
2023-03-31;11;159,8;25,2;
2023-04-30;13;28,6;20,4;
2023-05-31;21;173,2;17,6;
2023-06-30;18;319,2;15,7;
2023-07-31;16;192,8;15,3;
2023-08-31;15;81;16,5;
2023-09-30;19;442,2;18,7;
2023-10-31;16;199,2;19,3;
2023-11-30;18;301;21,8;
2023-12-31;16;184,4;24,9;
2024-01-31;11;172,6;24,3;
2024-02-29;10;64,4;26;
2024-03-31;10;55,2;24,6;
2024-04-30;18;298;21,5;
2024-05-31;25;551,4;16,6;
2024-06-30;16;220,6;17,1;
2024-07-31;20;110,4;13,6;
2024-08-31;13;60,4;15,7;
2024-09-30;15;203,4;19;
2024-10-31;2;null;null;

