Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;8;143,8;23,6;
2020-02-29;6;84;22,6;
2020-03-31;4;37,2;24,2;
2020-04-30;7;35,6;18,4;
2020-05-31;11;198,8;14,5;
2020-06-30;12;117,8;14,6;
2020-07-31;18;226;11,8;
2020-08-31;9;74,8;15;
2020-09-30;14;188,4;16,3;
2020-10-31;4;48,2;19,6;
2020-11-30;9;165,4;21;
2020-12-31;9;121,8;22,8;
2021-01-31;14;197,6;23,1;
2021-02-28;9;63,4;22;
2021-03-31;15;99,2;21,6;
2021-04-30;7;41,4;19,3;
2021-05-31;11;197,4;13,7;
2021-06-30;15;146,2;12,3;
2021-07-31;6;33;12,4;
2021-08-31;11;114,6;15,5;
2021-09-30;13;155,2;16,7;
2021-10-31;11;110,2;18,6;
2021-11-30;7;40;21,7;
2021-12-31;6;31,8;23,6;
2022-01-31;11;76,4;26,3;
2022-02-28;11;76,4;24,1;
2022-03-31;14;195,4;20,8;
2022-04-30;15;248,2;18,3;
2022-05-31;22;208,2;13,4;
2022-06-30;16;205,4;11,5;
2022-07-31;20;179,4;15,9;
2022-08-31;17;109,4;13,6;
2022-09-30;10;67,8;14,4;
2022-10-31;13;92,6;17,3;
2022-11-30;8;37,6;20,5;
2022-12-31;4;null;null;
2023-01-31;null;null;null;
2023-02-28;6;null;23,4;
2023-03-31;15;149,2;23,9;
2023-04-30;9;50,2;18,7;
2023-05-31;18;205;16,3;
2023-06-30;10;null;13,8;
2023-07-31;null;null;null;
2023-08-31;9;61,4;15,8;
2023-09-30;20;488,8;17,6;
2023-10-31;15;273,2;17,9;
2023-11-30;18;241,6;21,2;
2023-12-31;15;322,6;23,2;
2024-01-31;9;99;23;
2024-02-29;10;61,4;24,6;
2024-03-31;19;288;22,4;
2024-04-30;22;494;20,5;
2024-05-31;22;447,8;14,7;
2024-06-30;16;216,6;16,1;
2024-07-31;14;42,2;12,6;
2024-08-31;11;104,2;14,5;
2024-09-30;12;178,8;18,2;
2024-10-31;2;null;null;

