Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;38,4;23,8;
2020-02-29;9;33,4;23,4;
2020-03-31;9;36,8;23;
2020-04-30;13;102,6;19;
2020-05-31;10;91,4;15,6;
2020-06-30;15;209,8;14,4;
2020-07-31;11;126,8;12,2;
2020-08-31;12;51,2;13,9;
2020-09-30;14;190,8;14,7;
2020-10-31;13;130,4;17,4;
2020-11-30;7;29,6;19,9;
2020-12-31;9;143,8;22,1;
2021-01-31;11;null;24;
2021-02-28;18;210,6;22,8;
2021-03-31;19;227,6;22;
2021-04-30;11;29,8;19,8;
2021-05-31;10;37;13,9;
2021-06-30;13;101,4;13,4;
2021-07-31;13;70;11,9;
2021-08-31;15;143,4;14,5;
2021-09-30;15;222;16,7;
2021-10-31;7;82,2;17,8;
2021-11-30;10;48,2;20,4;
2021-12-31;8;35,4;21,7;
2022-01-31;13;94,2;25;
2022-02-28;5;83;23,2;
2022-03-31;12;113,2;21,1;
2022-04-30;9;112,6;17,9;
2022-05-31;3;null;null;
2022-06-30;null;null;null;
2022-07-31;16;263,2;13,9;
2022-08-31;13;118,8;13,1;
2022-09-30;13;48,4;14,4;
2022-10-31;20;109,6;17,3;
2022-11-30;4;40,8;20,1;
2022-12-31;11;18,6;22,7;
2023-01-31;7;71,4;24,6;
2023-02-28;13;119,2;23,5;
2023-03-31;14;138,6;24,3;
2023-04-30;9;24;18,7;
2023-05-31;12;139,8;16,9;
2023-06-30;12;62,2;14,4;
2023-07-31;13;252,8;13,4;
2023-08-31;10;100,6;14,3;
2023-09-30;20;477,4;16;
2023-10-31;7;60,2;17,6;
2023-11-30;17;179,6;20,1;
2023-12-31;15;173,6;22,2;
2024-01-31;12;96,8;23,4;
2024-02-29;11;114,6;24,5;
2024-03-31;10;42,4;22,7;
2024-04-30;17;245;20;
2024-05-31;21;327,2;14,8;
2024-06-30;15;112,8;15,8;
2024-07-31;11;25,8;11,5;
2024-08-31;16;194,4;13,6;
2024-09-30;19;328;16,8;
2024-10-31;2;null;null;

