Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;245,8;24,7;
2020-02-29;3;41,4;23,9;
2020-03-31;4;37,6;24,5;
2020-04-30;3;32;19,4;
2020-05-31;10;127,2;15,6;
2020-06-30;9;null;14;
2020-07-31;11;null;11,3;
2020-08-31;10;40,4;15,5;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;7;56,8;23,6;
2021-01-31;11;262,4;24,3;
2021-02-28;11;60;23;
2021-03-31;10;120,8;22,2;
2021-04-30;7;59,4;20,2;
2021-05-31;16;250;14,2;
2021-06-30;12;198,4;13;
2021-07-31;12;21,8;12,5;
2021-08-31;13;67,8;15,4;
2021-09-30;13;250,8;17;
2021-10-31;11;139,8;19;
2021-11-30;9;57;22;
2021-12-31;8;33,4;24,1;
2022-01-31;9;120,8;27;
2022-02-28;7;55,4;24,8;
2022-03-31;10;222,6;21,5;
2022-04-30;13;215,2;18,5;
2022-05-31;17;null;14,3;
2022-06-30;13;125,4;11,8;
2022-07-31;16;136,6;16;
2022-08-31;13;91,8;13,7;
2022-09-30;8;66,8;15,1;
2022-10-31;9;51,4;18,2;
2022-11-30;7;56,2;21,4;
2022-12-31;6;55,8;25,3;
2023-01-31;6;82;26,4;
2023-02-28;9;73,8;24,7;
2023-03-31;13;113;24,9;
2023-04-30;7;95;19,6;
2023-05-31;9;115,8;17;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;4;81,8;15,9;
2023-09-30;16;474,6;18;
2023-10-31;13;291,4;18,2;
2023-11-30;12;230,2;21,5;
2023-12-31;13;286,2;23,8;
2024-01-31;8;96;23,9;
2024-02-29;11;127,8;25,4;
2024-03-31;10;null;23,5;
2024-04-30;7;null;null;
2024-05-31;21;396,4;15,1;
2024-06-30;11;129,2;17,2;
2024-07-31;11;19;12,8;
2024-08-31;13;235,8;14,7;
2024-09-30;11;141,8;18,4;
2024-10-31;3;null;null;

