Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;117,4;23;
2020-02-29;6;9,4;22,6;
2020-03-31;8;29;23;
2020-04-30;10;40,2;18,3;
2020-05-31;9;171,2;15,1;
2020-06-30;19;151,6;13,8;
2020-07-31;11;135;11,6;
2020-08-31;10;85,8;14,7;
2020-09-30;18;228,4;14,7;
2020-10-31;13;105,4;17,1;
2020-11-30;8;72,8;19,4;
2020-12-31;10;68;21,5;
2021-01-31;11;null;23;
2021-02-28;16;148,8;21,8;
2021-03-31;4;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;4;null;null;
2021-09-30;15;261,6;15,5;
2021-10-31;8;77;17,5;
2021-11-30;12;68,6;19,9;
2021-12-31;5;46,6;21,3;
2022-01-31;11;74,6;24,8;
2022-02-28;9;144,8;22,9;
2022-03-31;14;119,6;20,1;
2022-04-30;14;202,4;17,3;
2022-05-31;22;110,4;13,3;
2022-06-30;13;122;11;
2022-07-31;17;181,8;14,5;
2022-08-31;14;114,4;12,7;
2022-09-30;11;74,6;13,9;
2022-10-31;14;107,2;16,4;
2022-11-30;8;55,8;19,3;
2022-12-31;6;42;22,4;
2023-01-31;9;64,4;24,2;
2023-02-28;13;149,6;22,9;
2023-03-31;15;176,4;23,2;
2023-04-30;8;41,4;17,9;
2023-05-31;12;218,4;16,5;
2023-06-30;14;125,2;14,2;
2023-07-31;16;219,2;12,7;
2023-08-31;10;105,6;14,6;
2023-09-30;19;505,6;15,7;
2023-10-31;14;172,4;16,6;
2023-11-30;18;263,8;19,3;
2023-12-31;16;116,8;22;
2024-01-31;10;95,8;22,3;
2024-02-29;9;94,2;23,8;
2024-03-31;10;73;22,1;
2024-04-30;8;null;null;
2024-05-31;null;null;null;
2024-06-30;13;null;15,3;
2024-07-31;16;76,2;11,6;
2024-08-31;16;129,4;13,5;
2024-09-30;17;242;16,7;
2024-10-31;3;null;null;

