Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 485.29
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;153;22,8;
2020-02-29;10;89;22,2;
2020-03-31;5;10,4;22,2;
2020-04-30;11;43,8;16,9;
2020-05-31;19;131,4;14;
2020-06-30;18;184,2;14,7;
2020-07-31;24;500,2;11,9;
2020-08-31;14;115,6;14;
2020-09-30;17;102,4;16,7;
2020-10-31;10;30,2;19,2;
2020-11-30;8;86;20,1;
2020-12-31;16;118,8;22,1;
2021-01-31;20;381,4;22,5;
2021-02-28;17;92,8;21;
2021-03-31;24;126;20,9;
2021-04-30;17;13,2;17,9;
2021-05-31;25;223,8;12,6;
2021-06-30;10;null;null;
2021-07-31;19;41,4;10,6;
2021-08-31;17;112,4;15,1;
2021-09-30;18;186,8;17,4;
2021-10-31;17;191,4;17,8;
2021-11-30;11;52,2;20,6;
2021-12-31;7;78,4;22,4;
2022-01-31;17;103,6;24,4;
2022-02-28;14;107,6;22,6;
2022-03-31;20;235,4;20,5;
2022-04-30;24;165;17,4;
2022-05-31;27;315,4;13;
2022-06-30;19;null;10,7;
2022-07-31;20;91,4;15,5;
2022-08-31;23;129;13,3;
2022-09-30;16;74,4;14,5;
2022-10-31;15;83,8;17,1;
2022-11-30;11;81;18,6;
2022-12-31;15;160,2;22;
2023-01-31;14;83,4;23,6;
2023-02-28;18;86,8;21,7;
2023-03-31;18;180,4;22,4;
2023-04-30;21;85,2;17,5;
2023-05-31;27;167,8;15,3;
2023-06-30;22;177,8;13,5;
2023-07-31;17;225,8;13,9;
2023-08-31;22;69,6;14,9;
2023-09-30;23;539,4;17,4;
2023-10-31;21;343,4;17,7;
2023-11-30;21;567,2;20,2;
2023-12-31;21;165,2;22,6;
2024-01-31;19;234,2;22,1;
2024-02-29;17;223,2;23,7;
2024-03-31;24;131,4;21,8;
2024-04-30;24;267,2;20,2;
2024-05-31;25;724,6;14,9;
2024-06-30;22;404;16,1;
2024-07-31;18;null;13,3;
2024-08-31;17;82,8;14,6;
2024-09-30;17;148,4;18,2;
2024-10-31;4;null;null;

