Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;332,4;18,9;
2020-02-29;16;72,6;18,1;
2020-03-31;11;20;18,4;
2020-04-30;14;35,4;14,6;
2020-05-31;9;66,4;12,8;
2020-06-30;9;null;12,2;
2020-07-31;5;null;null;
2020-08-31;8;97,4;12,9;
2020-09-30;12;117,8;14,1;
2020-10-31;9;110,2;15,5;
2020-11-30;20;161,8;15,7;
2020-12-31;19;151;17,9;
2021-01-31;18;199;18,9;
2021-02-28;16;67;18,2;
2021-03-31;19;89,8;17,9;
2021-04-30;18;35,2;15,2;
2021-05-31;18;196,8;11,4;
2021-06-30;12;129,6;10,2;
2021-07-31;11;35,6;10,3;
2021-08-31;11;81;12,9;
2021-09-30;14;141,2;14,4;
2021-10-31;16;91,8;14,2;
2021-11-30;12;113,8;16,4;
2021-12-31;14;53;17,3;
2022-01-31;15;199,4;19,9;
2022-02-28;14;73,2;19,4;
2022-03-31;22;152,8;17,4;
2022-04-30;21;125,8;14,9;
2022-05-31;23;288,4;10,9;
2022-06-30;19;271;9,8;
2022-07-31;11;99,6;14,2;
2022-08-31;20;103,4;10,9;
2022-09-30;20;94,4;11,2;
2022-10-31;19;99;14,1;
2022-11-30;20;67,2;14,7;
2022-12-31;20;200,6;18,1;
2023-01-31;18;125,6;19,5;
2023-02-28;13;92,8;18,4;
2023-03-31;16;139,6;19,4;
2023-04-30;22;40,8;14,8;
2023-05-31;14;null;13,9;
2023-06-30;19;122,8;12,2;
2023-07-31;15;174;11,7;
2023-08-31;13;76,6;13,1;
2023-09-30;24;412,4;15,2;
2023-10-31;20;324,2;14,4;
2023-11-30;22;479,6;17;
2023-12-31;25;154,8;19,4;
2024-01-31;22;180,6;18,6;
2024-02-29;18;68,8;20,3;
2024-03-31;14;58,6;19,3;
2024-04-30;22;182,8;17,4;
2024-05-31;26;650,4;13,5;
2024-06-30;15;387,6;13,7;
2024-07-31;18;72,4;10,8;
2024-08-31;13;93,8;13,1;
2024-09-30;14;100,6;16,2;
2024-10-31;3;null;null;

