Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;191,6;20,6;
2020-02-29;10;144,4;19,9;
2020-03-31;3;49,4;20,2;
2020-04-30;4;83,2;16,1;
2020-05-31;11;133,4;13,5;
2020-06-30;13;300,2;14,2;
2020-07-31;15;211,8;12,6;
2020-08-31;6;179;14,2;
2020-09-30;6;64,2;17,6;
2020-10-31;7;43,8;19,1;
2020-11-30;11;115,6;18,7;
2020-12-31;15;244,6;20,5;
2021-01-31;21;null;20,3;
2021-02-28;10;null;19,7;
2021-03-31;6;null;20,7;
2021-04-30;4;17,8;16,8;
2021-05-31;10;166,2;13,8;
2021-06-30;13;165,8;11,8;
2021-07-31;7;51,8;10,8;
2021-08-31;7;36,6;15,3;
2021-09-30;13;221,8;16,7;
2021-10-31;15;213,8;16,5;
2021-11-30;7;109,8;19,6;
2021-12-31;9;33,8;20,7;
2022-01-31;12;125;21,5;
2022-02-28;11;165,8;21,1;
2022-03-31;19;357;19,2;
2022-04-30;13;167,4;16,5;
2022-05-31;17;309,8;12,4;
2022-06-30;17;313;11,5;
2022-07-31;12;72,8;15,3;
2022-08-31;16;172,4;12,4;
2022-09-30;17;99,2;12,7;
2022-10-31;18;293,6;16,2;
2022-11-30;13;45,6;16,9;
2022-12-31;14;175,6;20,5;
2023-01-31;15;129,4;20,8;
2023-02-28;16;91,4;19,7;
2023-03-31;16;150,6;20,2;
2023-04-30;12;98,4;16,5;
2023-05-31;7;80,8;15;
2023-06-30;14;168,6;13,4;
2023-07-31;16;182,2;13,4;
2023-08-31;14;101,2;14,6;
2023-09-30;15;184,8;18;
2023-10-31;17;464;17,3;
2023-11-30;15;459,6;19,1;
2023-12-31;12;null;21,5;
2024-01-31;16;200,2;20,5;
2024-02-29;13;null;21,9;
2024-03-31;15;113,6;20,8;
2024-04-30;13;183,4;19,7;
2024-05-31;20;279,4;15,3;
2024-06-30;11;166,8;15,7;
2024-07-31;11;146,8;13;
2024-08-31;9;45,4;14,8;
2024-09-30;11;99,8;18,5;
2024-10-31;2;null;null;

