Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;25,9;
2020-02-29;null;null;25,8;
2020-03-31;null;null;26,2;
2020-04-30;null;null;25,7;
2020-05-31;null;null;23,1;
2020-06-30;null;0;24;
2020-07-31;0;0;23,5;
2020-08-31;0;0;24,6;
2020-09-30;0;0;27,4;
2020-10-31;null;null;27,6;
2020-11-30;null;null;26,9;
2020-12-31;null;null;25,8;
2021-01-31;null;null;25,3;
2021-02-28;null;null;25,4;
2021-03-31;null;null;24,6;
2021-04-30;null;null;null;
2021-05-31;2;null;23,3;
2021-06-30;1;,6;23,4;
2021-07-31;null;null;21,9;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;2;null;null;
2022-09-30;3;null;27,6;
2022-10-31;9;null;26,9;
2022-11-30;5;null;26,6;
2022-12-31;14;null;25;
2023-01-31;25;318;24,6;
2023-02-28;19;162,8;25,7;
2023-03-31;23;366,8;25,1;
2023-04-30;18;223,6;25,3;
2023-05-31;7;26,2;24,9;
2023-06-30;1;null;23,9;
2023-07-31;0;0;23,9;
2023-08-31;1;4,6;26,8;
2023-09-30;8;74;28,3;
2023-10-31;11;99,6;28,7;
2023-11-30;9;191;27,8;
2023-12-31;10;20,2;27,1;
2024-01-31;15;457,2;26,5;
2024-02-29;19;267,8;26,4;
2024-03-31;19;120,6;26,9;
2024-04-30;15;161,8;26,5;
2024-05-31;3;6,4;24,5;
2024-06-30;0;0;24,2;
2024-07-31;0;0;23,5;
2024-08-31;1;6,8;25,4;
2024-09-30;1;,2;28,7;
2024-10-31;4;null;null;

