Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;223,8;24,4;
2020-02-29;26;339,2;23,6;
2020-03-31;16;115,4;24,2;
2020-04-30;13;59,4;23,4;
2020-05-31;7;40,6;20,3;
2020-06-30;1;,2;21,9;
2020-07-31;0;0;22;
2020-08-31;0;0;23,5;
2020-09-30;3;12,6;27,1;
2020-10-31;11;179,4;26,5;
2020-11-30;9;34,4;25,3;
2020-12-31;19;214,2;24,1;
2021-01-31;19;null;23,4;
2021-02-28;19;119,6;23,6;
2021-03-31;16;null;22,7;
2021-04-30;6;64;23;
2021-05-31;3;75,2;22;
2021-06-30;2;15,8;20,7;
2021-07-31;0;0;19,7;
2021-08-31;1;1,4;23,6;
2021-09-30;0;0;27,2;
2021-10-31;11;146;24,7;
2021-11-30;12;null;23,4;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;2;,8;20,1;
2022-06-30;5;25,2;21;
2022-07-31;0;0;22,3;
2022-08-31;4;30,6;22,3;
2022-09-30;3;11,8;25,2;
2022-10-31;10;115,2;24,6;
2022-11-30;5;null;23;
2022-12-31;19;null;23,4;
2023-01-31;13;null;null;
2023-02-28;15;null;23,2;
2023-03-31;15;null;23,8;
2023-04-30;17;158,6;23,1;
2023-05-31;3;4,8;22;
2023-06-30;6;18,2;19,7;
2023-07-31;0;0;22,3;
2023-08-31;6;39;24,4;
2023-09-30;11;53,6;26,4;
2023-10-31;9;null;26,7;
2023-11-30;11;null;26,4;
2023-12-31;10;null;25,8;
2024-01-31;10;null;null;
2024-02-29;17;null;24,4;
2024-03-31;22;254;24,3;
2024-04-30;15;168,4;24,5;
2024-05-31;3;,6;23,1;
2024-06-30;0;0;22,3;
2024-07-31;0;0;22;
2024-08-31;0;0;23,2;
2024-09-30;2;7,2;27,3;
2024-10-31;null;null;null;

