Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;25;142,8;24,9;
2020-02-29;23;336,6;24,6;
2020-03-31;3;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;2;5,6;23,1;
2020-07-31;0;0;23,5;
2020-08-31;0;0;24,8;
2020-09-30;5;38,2;27;
2020-10-31;14;98;26;
2020-11-30;9;102,8;25,4;
2020-12-31;23;169,8;24;
2021-01-31;19;null;23,9;
2021-02-28;20;365,8;24,5;
2021-03-31;24;272,8;23,6;
2021-04-30;15;152,6;23,7;
2021-05-31;5;75,8;22,5;
2021-06-30;2;2,6;21,9;
2021-07-31;0;0;21,8;
2021-08-31;1;4,6;25;
2021-09-30;7;67,2;null;
2021-10-31;12;128,4;null;
2021-11-30;27;268,2;null;
2021-12-31;27;191;null;
2022-01-31;20;272,4;null;
2022-02-28;22;null;null;
2022-03-31;23;247,8;null;
2022-04-30;2;10,4;null;
2022-05-31;0;0;null;
2022-06-30;3;14,6;null;
2022-07-31;0;0;null;
2022-08-31;4;41;null;
2022-09-30;3;47,2;null;
2022-10-31;12;132,6;null;
2022-11-30;6;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;2;null;null;
2023-06-30;3;21;21,7;
2023-07-31;0;0;23,3;
2023-08-31;1;4,4;26;
2023-09-30;11;47,8;26,7;
2023-10-31;13;106,4;27;
2023-11-30;12;126,2;26,5;
2023-12-31;16;82;25,4;
2024-01-31;23;260,2;25;
2024-02-29;22;167,6;25,2;
2024-03-31;20;236,6;25,2;
2024-04-30;19;84,8;25;
2024-05-31;4;66,8;22,8;
2024-06-30;0;0;23,2;
2024-07-31;0;0;22,6;
2024-08-31;0;0;24,8;
2024-09-30;2;1,8;27,6;
2024-10-31;3;null;null;

